dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed zlib compressed size (B),decomposed row-ordered zlib compressed size (B),reordered zlib compressed size (B),reordered row-based zlib compressed size (B),standard zlib compressed size (B),standard zlib compression ratio,decomposed zlib compression ratio,decomposed row-ordered zlib compression ratio,reordered zlib compression ratio,reordered row-based zlib compression ratio,WE,entropy word,entropy list,max rep
hdr_night_f32,496979108,4,124244777,"( (1,3,0,), (2,), )",-1,136743311,133127718,136745127,133128203,169958555,2.92411940075626,3.63439428492411,3.73310017978375,3.63434601951117,3.73308657970843,2.94310167330848,9.00313322899195,"(1.4787939763810787,7.336024764090699,)","(179,59,)"
hdr_night_f32,496979108,4,124244777,"( (1,0,), (2,), (3,), )",-1,133123927,133123930,133124920,133124924,169958555,2.92411940075626,3.7332064881169,3.73320640398762,3.73317864153458,3.73317852936389,2.3981145648042,9.00313322899195,"(2.3607676485055284e-07,7.336024764090699,2.25643302297257,)","(248489552,59,1105,)"
hdr_night_f32,496979108,4,124244777,"( (2,0,1,3,), )",-1,172019580,133124310,172019580,133124310,169958555,2.92411940075626,2.88908453328394,3.73319574764369,2.88908453328394,3.73319574764369,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(236,)"
hdr_night_f32,496979108,4,124244777,"( (3,1,), (2,), (0,), )",-1,135505250,133124269,135508228,133127061,169958555,2.92411940075626,3.66760039186674,3.73319689740418,3.66751979075396,3.73311860313659,2.77825185027379,9.00313322899195,"(1.8884912044881519,7.336024764090699,2.280281367782436e-07,)","(119,59,124244776,)"
hdr_night_f32,496979108,4,124244777,"( (3,2,0,1,), )",-1,172905654,133125370,172905654,133125370,169958555,2.92411940075626,2.87427910252142,3.73316602237425,2.87427910252142,3.73316602237425,3.56737541629414,9.00313322899195,"(3.5673754162941376,)","(238,)"
hdr_night_f32,496979108,4,124244777,"( (1,), (3,), (2,0,), )",-1,159682607,133124347,159686457,133129621,169958555,2.92411940075626,3.11229330067238,3.73319471005555,3.11221826406982,3.73304681758239,2.77179124782114,9.00313322899195,"(2.280281367782436e-07,2.25643302297257,4.415365870141933,)","(124244776,1105,119,)"
hdr_night_f32,496979108,4,124244777,"( (1,3,0,2,), )",-1,173181337,133128203,173181337,133128203,169958555,2.92411940075626,2.86970361015287,3.73308657970843,2.86970361015287,3.73308657970843,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(237,)"
hdr_night_f32,496979108,4,124244777,"( (0,), (1,), (3,2,), )",-1,156239236,133124766,156239525,133125846,169958555,2.92411940075626,3.18088542112431,3.73318296011127,3.18087953736418,3.73315267419972,2.81360683350782,9.00313322899195,"(2.280281367782436e-07,2.280281367782436e-07,5.627213438987496,)","(124244776,124244776,118,)"
hdr_night_f32,496979108,4,124244777,"( (1,3,2,0,), )",-1,172905653,133129621,172905653,133129621,169958555,2.92411940075626,2.87427911914482,3.73304681758239,2.87427911914482,3.73304681758239,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(238,)"
hdr_night_f32,496979108,4,124244777,"( (2,), (0,3,1,), )",-1,136743311,133127718,136744684,133127821,169958555,2.92411940075626,3.63439428492411,3.73310017978375,3.63435779338961,3.73309729151204,2.94310167330848,9.00313322899195,"(7.336024764090699,1.4787939763810787,)","(59,179,)"
