"Group Name","Backend","Compressed Size (Level 3)","Compression Ratio (Level 3)","Compression Time (Level 3)","Run",,,,
"group","default",4031987,2.67858006486628,0.0419213771820068,25,,,,
"group1","loky",1280183,2.81209795787009,0.0135428905487061,26,,,,
"group2","loky",1290613,2.78937218205612,0.0169694423675537,26,,,,
"group3","loky",1469494,2.44982286419679,0.0152854919433594,26,,,,
"group","default",4031987,2.67858006486628,0.0409507751464844,26,,,,
"group1","loky",1280183,2.81209795787009,0.0139346122741699,27,,,,
"group2","loky",1290613,2.78937218205612,0.0147130489349365,27,,,,
"group3","loky",1469494,2.44982286419679,0.0185675621032715,27,,,,
"group","default",4031987,2.67858006486628,0.0400774478912354,27,,,,
"group1","loky",1280183,2.81209795787009,0.015547513961792,28,,,,
"group2","loky",1290613,2.78937218205612,0.0140922069549561,28,,,,
"group3","loky",1469494,2.44982286419679,0.016077995300293,28,,,,
"group","default",4031987,2.67858006486628,0.040712833404541,28,,,,
"group1","loky",1280183,2.81209795787009,0.0142712593078613,29,,,,
"group2","loky",1290613,2.78937218205612,0.0185680389404297,29,,,,
"group3","loky",1469494,2.44982286419679,0.0184495449066162,29,,,,
"group","default",4031987,2.67858006486628,0.0397806167602539,29,,,,
"group1","loky",1280183,2.81209795787009,0.0136678218841553,30,,,,
"group2","loky",1290613,2.78937218205612,0.0167279243469238,30,,,,
"group3","loky",1469494,2.44982286419679,0.014815092086792,30,,,,
"group","default",4031987,2.67858006486628,0.0417368412017822,30,,,,
"group1","loky",1280183,2.81209795787009,0.0137765407562256,31,,,,
"group2","loky",1290613,2.78937218205612,0.0157201290130615,31,,,,
"group3","loky",1469494,2.44982286419679,0.0146827697753906,31,,,,
"group","default",4031987,2.67858006486628,0.0403709411621094,31,,,,
"group1","loky",1280183,2.81209795787009,0.0149366855621338,32,,,,
"group2","loky",1290613,2.78937218205612,0.0145246982574463,32,,,,
"group3","loky",1469494,2.44982286419679,0.0153133869171143,32,,,,
"group","default",4031987,2.67858006486628,0.0407555103302002,32,,,,
"group1","loky",1280183,2.81209795787009,0.0140588283538818,33,,,,
"group2","loky",1290613,2.78937218205612,0.0136544704437256,33,,,,
"group3","loky",1469494,2.44982286419679,0.0148282051086426,33,,,,
"group","default",4031987,2.67858006486628,0.0406463146209717,33,,,,
"group1","loky",1280183,2.81209795787009,0.0148024559020996,34,,,,
"group2","loky",1290613,2.78937218205612,0.0134322643280029,34,,,,
"group3","loky",1469494,2.44982286419679,0.0151572227478027,34,,,,
"group","default",4031987,2.67858006486628,0.04071044921875,34,,,,
"group1","loky",1280183,2.81209795787009,0.0152835845947266,35,,,,
"group2","loky",1290613,2.78937218205612,0.0155594348907471,35,,,,
"group3","loky",1469494,2.44982286419679,0.0162920951843262,35,,,,
"group","default",4031987,2.67858006486628,0.045339822769165,35,,,,
"group1","loky",1280183,2.81209795787009,0.0182254314422607,36,,,,
"group2","loky",1290613,2.78937218205612,0.016277551651001,36,,,,
"group3","loky",1469494,2.44982286419679,0.0178308486938477,36,,,,
"group","default",4031987,2.67858006486628,0.0399088859558105,36,,,,
"group1","loky",1280183,2.81209795787009,0.0138263702392578,37,,,,
"group2","loky",1290613,2.78937218205612,0.0135042667388916,37,,,,
"group3","loky",1469494,2.44982286419679,0.0168402194976807,37,,,,
"group","default",4031987,2.67858006486628,0.0409529209136963,37,,,,
"group1","loky",1280183,2.81209795787009,0.0131165981292725,38,,,,
"group2","loky",1290613,2.78937218205612,0.0136818885803223,38,,,,
"group3","loky",1469494,2.44982286419679,0.01473069190979,38,,,,
"group","default",4031987,2.67858006486628,0.0409736633300781,38,,,,
"group1","loky",1280183,2.81209795787009,0.013829231262207,39,,,,
"group2","loky",1290613,2.78937218205612,0.0142443180084229,39,,,,
"group3","loky",1469494,2.44982286419679,0.0147421360015869,39,,,,
"group","default",4031987,2.67858006486628,0.0401263236999512,39,,,,
"group1","loky",1280183,2.81209795787009,0.0140800476074219,40,,,,
"group2","loky",1290613,2.78937218205612,0.0138418674468994,40,,,,
"group3","loky",1469494,2.44982286419679,0.0149476528167725,40,,,,
"group","default",4031987,2.67858006486628,0.0418457984924316,40,,,,
"group1","loky",1280183,2.81209795787009,0.0163612365722656,41,,,,
"group2","loky",1290613,2.78937218205612,0.0163438320159912,41,,,,
"group3","loky",1469494,2.44982286419679,0.0158593654632568,41,,,,
"group","default",4031987,2.67858006486628,0.0423252582550049,41,,,,
"group1","loky",1280183,2.81209795787009,0.0136497020721436,42,,,,
"group2","loky",1290613,2.78937218205612,0.0139329433441162,42,,,,
"group3","loky",1469494,2.44982286419679,0.015129566192627,42,,,,
"group","default",4031987,2.67858006486628,0.0400307178497314,42,,,,
"group1","loky",1280183,2.81209795787009,0.0142264366149902,43,,,,
"group2","loky",1290613,2.78937218205612,0.0134091377258301,43,,,,
"group3","loky",1469494,2.44982286419679,0.0158007144927979,43,,,,
"group","default",4031987,2.67858006486628,0.0428466796875,43,,,,
"group1","loky",1280183,2.81209795787009,0.0192618370056152,44,,,,
"group2","loky",1290613,2.78937218205612,0.0147740840911865,44,,,,
"group3","loky",1469494,2.44982286419679,0.0144963264465332,44,,,,
"group","default",4031987,2.67858006486628,0.0408098697662354,44,,,,
"group1","loky",1280183,2.81209795787009,0.0144283771514893,45,,,,
"group2","loky",1290613,2.78937218205612,0.0136590003967285,45,,,,
"group3","loky",1469494,2.44982286419679,0.0159690380096436,45,,,,
"group","default",4031987,2.67858006486628,0.0412461757659912,45,,,,
"group1","loky",1280183,2.81209795787009,0.0131585597991943,46,,,,
"group2","loky",1290613,2.78937218205612,0.0133078098297119,46,,,,
"group3","loky",1469494,2.44982286419679,0.0150599479675293,46,,,,
"group","default",4031987,2.67858006486628,0.041438102722168,46,,,,
