Group Name,Backend,Compressed Size (Level 3),Compression Ratio (Level 3),Compression Time (Level 3),Run
group2,loky,1290613,2.7893721820561237,0.013405323028564453,14
group3,loky,1469494,2.4498228641967916,0.015411138534545898,14
group,default,4031987,2.6785800648662805,0.04139399528503418,14
group1,loky,1280183,2.8120979578700855,0.01692652702331543,15
group2,loky,1290613,2.7893721820561237,0.013622045516967773,15
group3,loky,1469494,2.4498228641967916,0.017352819442749023,15
group,default,4031987,2.6785800648662805,0.04133296012878418,15
group1,loky,1280183,2.8120979578700855,0.013570070266723633,16
group2,loky,1290613,2.7893721820561237,0.013326406478881836,16
group3,loky,1469494,2.4498228641967916,0.014628410339355469,16
group,default,4031987,2.6785800648662805,0.04085564613342285,16
group1,loky,1280183,2.8120979578700855,0.014462471008300781,17
group2,loky,1290613,2.7893721820561237,0.014901876449584961,17
group3,loky,1469494,2.4498228641967916,0.015036821365356445,17
group,default,4031987,2.6785800648662805,0.04021096229553223,17
group1,loky,1280183,2.8120979578700855,0.017314910888671875,18
group2,loky,1290613,2.7893721820561237,0.01902008056640625,18
group3,loky,1469494,2.4498228641967916,0.014760732650756836,18
group,default,4031987,2.6785800648662805,0.04129624366760254,18
group1,loky,1280183,2.8120979578700855,0.01384425163269043,19
group2,loky,1290613,2.7893721820561237,0.01614689826965332,19
group3,loky,1469494,2.4498228641967916,0.0148162841796875,19
group,default,4031987,2.6785800648662805,0.04081463813781738,19
group1,loky,1280183,2.8120979578700855,0.013512611389160156,20
group2,loky,1290613,2.7893721820561237,0.01871204376220703,20
group3,loky,1469494,2.4498228641967916,0.01930999755859375,20
group,default,4031987,2.6785800648662805,0.04211926460266113,20
group1,loky,1280183,2.8120979578700855,0.01494741439819336,21
group2,loky,1290613,2.7893721820561237,0.013471603393554688,21
group3,loky,1469494,2.4498228641967916,0.014716625213623047,21
group,default,4031987,2.6785800648662805,0.040801048278808594,21
group1,loky,1280183,2.8120979578700855,0.01859760284423828,22
group2,loky,1290613,2.7893721820561237,0.013757705688476562,22
group3,loky,1469494,2.4498228641967916,0.019243717193603516,22
group,default,4031987,2.6785800648662805,0.04084610939025879,22
group1,loky,1280183,2.8120979578700855,0.013508319854736328,23
group2,loky,1290613,2.7893721820561237,0.013442516326904297,23
group3,loky,1469494,2.4498228641967916,0.01803755760192871,23
group,default,4031987,2.6785800648662805,0.041158437728881836,23
group1,loky,1280183,2.8120979578700855,0.016316652297973633,24
group2,loky,1290613,2.7893721820561237,0.013277769088745117,24
group3,loky,1469494,2.4498228641967916,0.018366098403930664,24
group,default,4031987,2.6785800648662805,0.04382634162902832,24
group1,loky,1280183,2.8120979578700855,0.01672649383544922,25
group2,loky,1290613,2.7893721820561237,0.014961719512939453,25
group3,loky,1469494,2.4498228641967916,0.014701366424560547,25
group,default,4031987,2.6785800648662805,0.04137015342712402,25
group1,loky,1280183,2.8120979578700855,0.013208866119384766,26
group2,loky,1290613,2.7893721820561237,0.013466596603393555,26
group3,loky,1469494,2.4498228641967916,0.015026569366455078,26
group,default,4031987,2.6785800648662805,0.043424367904663086,26
group1,loky,1280183,2.8120979578700855,0.01412820816040039,27
group2,loky,1290613,2.7893721820561237,0.01411581039428711,27
group3,loky,1469494,2.4498228641967916,0.017810583114624023,27
group,default,4031987,2.6785800648662805,0.040427446365356445,27
group1,loky,1280183,2.8120979578700855,0.015308141708374023,28
group2,loky,1290613,2.7893721820561237,0.013303041458129883,28
