dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed blosc compressed size (B),decomposed row-ordered blosc compressed size (B),reordered blosc compressed size (B),reordered row-based blosc compressed size (B),standard blosc compressed size (B),standard blosc compression ratio,decomposed blosc compression ratio,decomposed row-ordered blosc compression ratio,reordered blosc compression ratio,reordered row-based blosc compression ratio,decomposed blosc_bit compressed size (B),decomposed row-ordered blosc_bit compressed size (B),reordered blosc_bit compressed size (B),reordered row-based blosc_bit compressed size (B),standard blosc_bit compressed size (B),standard blosc_bit compression ratio,decomposed blosc_bit compression ratio,decomposed row-ordered blosc_bit compression ratio,reordered blosc_bit compression ratio,reordered row-based blosc_bit compression ratio,WE,entropy word,entropy list,max rep
acs_wht_f32,224999996,4,56249999,"( (1,), (2,3,0,), )",-1,158628624,142208286,158628898,142205544,164492669,1.36784208905991,1.41840728568635,1.5821862588232,1.41840483566872,1.58221676645743,177265586,143290670,177268495,143291653,171892948,1.30895419863298,1.26928187854804,1.57023479616642,1.26926104946059,1.57022402414466,6.31432908472876,20.1330116816552,"(7.412636992582531,5.9482264487775005,)","(412752,1238256,)"
acs_wht_f32,224999996,4,56249999,"( (2,1,), (3,0,), )",-1,156927533,142208683,156927479,142208921,164492669,1.36784208905991,1.43378278941019,1.58218184187811,1.43378328278631,1.58217919394804,158340502,143290686,158342842,143291708,171892948,1.30895419863298,1.42098826995003,1.57023462083223,1.4209672705003,1.5702234214418,6.16463389446987,20.1330116816552,"(7.192768741067551,5.136499047872188,)","(825504,825504,)"
acs_wht_f32,224999996,4,56249999,"( (2,3,0,1,), )",-1,164496786,142208218,164496786,142208218,164492669,1.36784208905991,1.36780785492064,1.5821870153805,1.36780785492064,1.5821870153805,171893056,143291000,171893056,143291000,171892948,1.30895419863298,1.30895337622015,1.57023117990662,1.30895337622015,1.57023117990662,6.44260136953034,20.1330116816552,"(6.44260136953034,)","(1651008,)"
acs_wht_f32,224999996,4,56249999,"( (0,), (1,2,3,), )",-1,158599793,142205245,158600958,142208285,164492669,1.36784208905991,1.41866513028803,1.58222009321808,1.41865470951317,1.58218626994904,177265069,143291174,177264430,143290000,171892948,1.30895419863298,1.26928558045466,1.57022927315816,1.26929015595515,1.57024213832089,6.31422855038797,20.1330116816552,"(7.412603678883616,5.948103507556084,)","(412752,1238256,)"
acs_wht_f32,224999996,4,56249999,"( (3,1,2,0,), )",-1,164497100,142208257,164497100,142208257,164492669,1.36784208905991,1.36780524398302,1.58218658147255,1.36780524398302,1.58218658147255,171893470,143289869,171893470,143289869,171892948,1.30895419863298,1.30895022364724,1.57024357388449,1.30895022364724,1.57024357388449,6.44260136953034,20.1330116816552,"(6.44260136953034,)","(1651008,)"
acs_wht_f32,224999996,4,56249999,"( (1,3,), (2,0,), )",-1,156914036,142208365,156918299,142207939,164492669,1.36784208905991,1.43390611659495,1.58218537988254,1.43386716166226,1.58219011949818,158336097,143290976,158330286,143290159,171892948,1.30895419863298,1.42102780264945,1.57023144290677,1.4210799568694,1.57024039592279,6.16479309855714,20.1330116816552,"(5.136580155175457,7.193006041938832,)","(825504,825504,)"
acs_wht_f32,224999996,4,56249999,"( (3,0,1,2,), )",-1,164499510,142202744,164499510,142202744,164492669,1.36784208905991,1.36778520495289,1.58224792061678,1.36778520495289,1.58224792061678,171893503,143291027,171893503,143291027,171892948,1.30895419863298,1.30894997235585,1.57023088403156,1.30894997235585,1.57023088403156,6.44260136953034,20.1330116816552,"(6.4426013695303395,)","(1651008,)"
acs_wht_f32,224999996,4,56249999,"( (1,2,), (3,0,), )",-1,156927813,142205306,156927759,142205544,164492669,1.36784208905991,1.43378023116909,1.58221941451327,1.43378072454345,1.58221676645743,158338672,143290631,158341012,143291653,171892948,1.30895419863298,1.42100469302913,1.57023522354368,1.42098369309399,1.57022402414466,6.16463389446987,20.1330116816552,"(7.1927687410675505,5.136499047872188,)","(825504,825504,)"
acs_wht_f32,224999996,4,56249999,"( (0,), (1,), (2,), (3,), )",-1,142208190,142208190,142208285,142208285,164492669,1.36784208905991,1.58218732690431,1.58218732690431,1.58218626994904,1.58218626994904,143291467,143291467,143290000,143290000,171892948,1.30895419863298,1.57022606237956,1.57022606237956,1.57024213832089,1.57024213832089,5.64734299698702,20.1330116816552,"(7.412603678883616,7.412636992582531,6.543164177817545,1.2209671386643668,)","(412752,412752,412752,412752,)"
acs_wht_f32,224999996,4,56249999,"( (0,), (3,), (2,1,), )",-1,146057909,142208514,146057651,142207572,164492669,1.36784208905991,1.54048484974545,1.58218372213636,1.5404875708976,1.58219420271095,147064194,143290696,147067712,143290010,171892948,1.30895419863298,1.52994410046541,1.57023451124838,1.52990750274268,1.57024202873599,5.75477707492077,20.1330116816552,"(7.412603678883616,1.2209671386643668,7.192768741067551,)","(412752,412752,825504,)"
