Dataset,FeatureScenario,k,Silhouette,DaviesBouldin,CalinskiHarabasz,GapStatistic,ClusterConfig,CompressionTool,StandardSize(B),StandardRatio,DecomposedSize(B)_ColOrder,DecomposedRatio_ColOrder,DecomposedSize(B)_RowOrder,DecomposedRatio_RowOrder
tpcds_store_f32,Entropy_Mean,3,0.3465503983395531,0.1362225889577164,16.541740633508443,-1.2023927204435723,"(2,3)|(1)|(4)",bz2,149916015,1.8444724000968142,172208437,1.605705021293469,173155434,1.5969233284356528
tpcds_store_f32,Entropy_Mean,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),bz2,149916015,1.8444724000968142,173144577,1.597023463229807,173144577,1.597023463229807
tpcds_store_f32,Entropy_Std,2,0.5218224382960168,0.15504889310396924,15.807194094595436,-0.040757898462101316,"(1,3,4)|(2)",bz2,149916015,1.8444724000968142,179393375,1.5413944467012788,173171958,1.5967709506408654
tpcds_store_f32,Entropy_Std,3,0.2480122777292921,0.18326301409937948,30.205614830744995,-0.5758563968290193,"(1,4)|(3)|(2)",bz2,149916015,1.8444724000968142,177947225,1.5539211246480522,173146936,1.5970017049565348
tpcds_store_f32,Entropy_Std,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),bz2,149916015,1.8444724000968142,173144577,1.597023463229807,173144577,1.597023463229807
tpcds_store_f32,Entropy_Max,2,0.7120291433224301,0.28194747769454603,24.73744279436664,-0.6866629988797066,"(2,3)|(1,4)",bz2,149916015,1.8444724000968142,177011085,1.5621391846730954,173157793,1.5969015728908025
tpcds_store_f32,Entropy_Max,3,0.3510236273626735,0.13244638853766774,17.48594789630712,-1.0255572439544594,"(2,3)|(1)|(4)",bz2,149916015,1.8444724000968142,172208437,1.605705021293469,173155434,1.5969233284356528
tpcds_store_f32,Entropy_Max,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),bz2,149916015,1.8444724000968142,173144577,1.597023463229807,173144577,1.597023463229807
tpcds_store_f32,Entropy_Min,2,0.7033006535400491,0.29024067784560204,23.485689992245145,-0.9079492225861172,"(2,3)|(1,4)",bz2,149916015,1.8444724000968142,177011085,1.5621391846730954,173157793,1.5969015728908025
tpcds_store_f32,Entropy_Min,3,0.34142925212265807,0.14051929907188573,15.560979462591334,-1.386292743656648,"(2,3)|(1)|(4)",bz2,149916015,1.8444724000968142,172208437,1.605705021293469,173155434,1.5969233284356528
tpcds_store_f32,Entropy_Min,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),bz2,149916015,1.8444724000968142,173144577,1.597023463229807,173144577,1.597023463229807
tpcds_store_f32,Frequency,2,0.4869411053823336,0.48286074409131813,8.552226394402147,-0.9578721327234758,"(2,3)|(1,4)",bz2,149916015,1.8444724000968142,177011085,1.5621391846730954,173157793,1.5969015728908025
tpcds_store_f32,Frequency,3,0.16219187338298227,0.26471752926519043,5.4246917144347755,-1.9413292054233198,"(2,3)|(1)|(4)",bz2,149916015,1.8444724000968142,172208437,1.605705021293469,173155434,1.5969233284356528
tpcds_store_f32,Frequency,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),bz2,149916015,1.8444724000968142,173144577,1.597023463229807,173144577,1.597023463229807
tpcds_store_f32,All_Features,2,0.7077718615861707,0.28600096309132267,24.118078811569042,-0.15332758346956815,"(2,3)|(1,4)",bz2,149916015,1.8444724000968142,177011085,1.5621391846730954,173157793,1.5969015728908025
tpcds_store_f32,All_Features,3,0.34633222110385176,0.1364072430899803,16.49839801735099,0.026855875441150256,"(2,3)|(1)|(4)",bz2,149916015,1.8444724000968142,172208437,1.605705021293469,173155434,1.5969233284356528
tpcds_store_f32,All_Features,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),bz2,149916015,1.8444724000968142,173144577,1.597023463229807,173144577,1.597023463229807
hst_wfc3_uvis_f32,Entropy,2,0.7461443879264001,0.0034148777159564232,38111.86078198561,3.496173018395557,"(1,2,3)|(4)",bz2,63719070,1.7094530726829504,55609245,1.9587527217821425,55658211,1.9570294848319865
hst_wfc3_uvis_f32,Entropy,3,0.4976795220689728,0.001552904453618974,589873072.0644331,7.145237735558197,"(1,2)|(3)|(4)",bz2,63719070,1.7094530726829504,55641275,1.9576251622558973,55658742,1.9570108142221396
hst_wfc3_uvis_f32,Entropy,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),bz2,63719070,1.7094530726829504,55659300,1.9569911946431233,55659300,1.9569911946431233
hst_wfc3_uvis_f32,Entropy_Mean,2,0.7463296418873566,0.003251685176665715,42033.417665608365,3.7980137776632827,"(1,2,3)|(4)",bz2,63719070,1.7094530726829504,55609245,1.9587527217821425,55658211,1.9570294848319865
hst_wfc3_uvis_f32,Entropy_Mean,3,0.4978907628808503,0.0014112836872711627,787395786.9194733,7.692684206245195,"(1,2)|(3)|(4)",bz2,63719070,1.7094530726829504,55641275,1.9576251622558973,55658742,1.9570108142221396
hst_wfc3_uvis_f32,Entropy_Mean,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),bz2,63719070,1.7094530726829504,55659300,1.9569911946431233,55659300,1.9569911946431233
hst_wfc3_uvis_f32,Entropy_Std,2,0.7464010763096256,0.003186997684735436,43756.778275436336,3.4939355915193646,"(1,2,3)|(4)",bz2,63719070,1.7094530726829504,55609245,1.9587527217821425,55658211,1.9570294848319865
hst_wfc3_uvis_f32,Entropy_Std,3,0.4974236654450651,0.001723688796357398,549406669.0012752,7.55625044786066,"(1,2)|(3)|(4)",bz2,63719070,1.7094530726829504,55641275,1.9576251622558973,55658742,1.9570108142221396
hst_wfc3_uvis_f32,Entropy_Std,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),bz2,63719070,1.7094530726829504,55659300,1.9569911946431233,55659300,1.9569911946431233
hst_wfc3_uvis_f32,Entropy_Max,2,0.7462754021559446,0.003296325757226049,40901.99046874218,3.3401782369695914,"(1,2,3)|(4)",bz2,63719070,1.7094530726829504,55609245,1.9587527217821425,55658211,1.9570294848319865
hst_wfc3_uvis_f32,Entropy_Max,3,0.4968667027540509,0.0020965717886650705,347218214.3462109,7.65558259881954,"(1,2)|(3)|(4)",bz2,63719070,1.7094530726829504,55641275,1.9576251622558973,55658742,1.9570108142221396
