Dataset,FeatureScenario,Metric,BestMetricValue,DecomposedRatio,k,config
tpcds_store_f32,Entropy,DaviesBouldin,0.1360372643232776,1.605705021293469,3,"(2,3)|(1)|(4)"
tpcds_store_f32,Entropy,CalinskiHarabasz,24.201218283312592,1.5621391846730954,2,"(2,3)|(1,4)"
tpcds_store_f32,Entropy,GapStatistic,-0.5984209761309861,1.5621391846730954,2,"(2,3)|(1,4)"
tpcds_store_f32,Frequency,Silhouette,0.4869411053823336,1.5621391846730954,2,"(2,3)|(1,4)"
tpcds_store_f32,Frequency,DaviesBouldin,0.2647175292651904,1.605705021293469,3,"(2,3)|(1)|(4)"
tpcds_store_f32,Frequency,CalinskiHarabasz,8.552226394402147,1.5621391846730954,2,"(2,3)|(1,4)"
tpcds_store_f32,Frequency,GapStatistic,-0.9578721327234758,1.5621391846730954,2,"(2,3)|(1,4)"
tpcds_web_f32,All_Features,Silhouette,0.7225899650471201,1.4142399380029198,2,"(2,3)|(1,4)"
tpcds_web_f32,All_Features,DaviesBouldin,0.0724076018283189,1.495435988426543,3,"(2,3)|(1)|(4)"
tpcds_web_f32,All_Features,CalinskiHarabasz,64.05195332903473,1.495435988426543,3,"(2,3)|(1)|(4)"
tpcds_web_f32,All_Features,GapStatistic,0.579738724266571,1.495435988426543,3,"(2,3)|(1)|(4)"
tpcds_web_f32,Entropy,Silhouette,0.7230099474464678,1.4142399380029198,2,"(2,3)|(1,4)"
tpcds_web_f32,Entropy,DaviesBouldin,0.0723876820986102,1.495435988426543,3,"(2,3)|(1)|(4)"
tpcds_web_f32,Entropy,CalinskiHarabasz,64.03453692850465,1.495435988426543,3,"(2,3)|(1)|(4)"
tpcds_web_f32,Entropy,GapStatistic,-0.1523858154114994,1.495435988426543,3,"(2,3)|(1)|(4)"
tpcds_web_f32,Frequency,Silhouette,0.420199014107035,1.5702010905297048,2,"(1,2,3)|(4)"
tpcds_web_f32,Frequency,DaviesBouldin,0.0968634434485768,1.495435988426543,3,"(2,3)|(1)|(4)"
tpcds_web_f32,Frequency,CalinskiHarabasz,61.97074424928849,1.495435988426543,3,"(2,3)|(1)|(4)"
tpcds_web_f32,Frequency,GapStatistic,-0.0148212305489359,1.495435988426543,3,"(2,3)|(1)|(4)"
ts_gas_f32,All_Features,Silhouette,0.6152304346036875,3.942045623149871,2,"(1,2,3)|(4)"
ts_gas_f32,All_Features,DaviesBouldin,0.0028983285526959,3.273222246359658,3,"(1,2)|(3)|(4)"
ts_gas_f32,All_Features,CalinskiHarabasz,189304.1146130336,3.273222246359658,3,"(1,2)|(3)|(4)"
ts_gas_f32,All_Features,GapStatistic,4.823705136154285,3.273222246359658,3,"(1,2)|(3)|(4)"
ts_gas_f32,Entropy,Silhouette,0.7463136098307395,3.942045623149871,2,"(1,2,3)|(4)"
ts_gas_f32,Entropy,DaviesBouldin,0.0027859298334486,3.942045623149871,2,"(1,2,3)|(4)"
ts_gas_f32,Entropy,CalinskiHarabasz,152740.71852037864,2.7727907980366457,3,"(1,3)|(2)|(4)"
ts_gas_f32,Entropy,GapStatistic,3.6252853825279496,2.7727907980366457,3,"(1,3)|(2)|(4)"
ts_gas_f32,Frequency,Silhouette,0.7421603694411585,3.942045623149871,2,"(1,2,3)|(4)"
ts_gas_f32,Frequency,DaviesBouldin,0.0061749042502716,3.942045623149871,2,"(1,2,3)|(4)"
ts_gas_f32,Frequency,CalinskiHarabasz,60373.48868525989,3.273222246359658,3,"(1,2)|(3)|(4)"
ts_gas_f32,Frequency,GapStatistic,3.050219018294213,3.273222246359658,3,"(1,2)|(3)|(4)"
turbulence_f32,All_Features,Silhouette,0.747415919583569,1.2668305803165778,2,"(1,2,3)|(4)"
turbulence_f32,All_Features,DaviesBouldin,0.0006440472688136,1.2905904688847811,3,"(1,2)|(3)|(4)"
turbulence_f32,All_Features,CalinskiHarabasz,7588244440.398374,1.2905904688847811,3,"(1,2)|(3)|(4)"
turbulence_f32,All_Features,GapStatistic,9.870584077125176,1.2905904688847811,3,"(1,2)|(3)|(4)"
turbulence_f32,Entropy,Silhouette,0.7475036839433088,1.2668305803165778,2,"(1,2,3)|(4)"
turbulence_f32,Entropy,DaviesBouldin,9.061007551790656e-06,1.2905904688847811,3,"(1,2)|(3)|(4)"
turbulence_f32,Entropy,CalinskiHarabasz,39558384724695.03,1.2905904688847811,3,"(1,2)|(3)|(4)"
turbulence_f32,Entropy,GapStatistic,12.487279931064316,1.2905904688847811,3,"(1,2)|(3)|(4)"
turbulence_f32,Frequency,Silhouette,0.7374606864621075,1.2668305803165778,2,"(1,2,3)|(4)"
turbulence_f32,Frequency,DaviesBouldin,0.0002278975379341,1.2905904688847811,3,"(1,2)|(3)|(4)"
turbulence_f32,Frequency,CalinskiHarabasz,2640614795.143177,1.2905904688847811,3,"(1,2)|(3)|(4)"
turbulence_f32,Frequency,GapStatistic,8.238351536701296,1.2905904688847811,3,"(1,2)|(3)|(4)"
