dataset name,original size,type width,Dimension,decomposition,chunk no,standard fastlz compressed size (B),decomposed fastlz col-order (B),decomposed fastlz row-order (B),reordered fastlz col-order (B),reordered fastlz row-order (B),standard fastlz ratio,decomposed fastlz col-order ratio,decomposed fastlz row-order ratio,reordered fastlz col-order ratio,reordered fastlz row-order ratio,WE,entropy word,entropy list,max rep,unique ratio
jw_mirimage_f32,169082876,4,42270719,"( (0,1,2,), (3,), )",-1,169074451,131167360,130742400,131167575,130742615,1.000049830118922,1.2890621264314537,1.2932520437134396,1.2890600134980006,1.293249917022082,6.659449871285273,23.163615334796823,"(7.9895721521785426,2.6690830286054634,)","(69,1023,)","(2.018733897886462e-06,7.333681738415663e-07,)"
phone_gyro_f64,334383160,8,41797895,"( (3,5,), (7,), (2,1,0,6,), (4,), )",-1,200749299,268287166,292074350,268299402,292075406,1.6656753556085893,1.2463628618001057,1.1448563011438695,1.2463060204658971,1.1448521619105445,6.78296690752739,14.769069201684337,"(7.5695193812977575,1.0494046455668429,7.918550632028744,6.401089323941786,)","(10,6871,5,75,)","(3.062355173627763e-06,1.674725485577683e-07,1.5311775868138814e-06,6.124710347255526e-06,)"
wesad_chest_f64,272339192,8,34042399,"( (6,4,5,), (7,3,0,2,1,), )",-1,126263818,148332263,143209942,148335063,143209036,2.156906042552903,1.836007800946177,1.901677971491672,1.8359731441243936,1.9016900022984584,4.016575652494471,13.858620496208305,"(7.402021439378061,1.9853081803643178,)","(5,9,)","(2.506678020351425e-06,4.993772618668854e-07,)"
msg_bt_f64,266389424,8,33298678,"( (0,1,2,3,4,), (5,), (6,), (7,), )",-1,251514332,204722489,205753550,204729117,205760035,1.0591421247517616,1.301222085083188,1.2947014717364536,1.30117995868658,1.2946606662464846,7.072143044381139,23.66663103473837,"(7.827040504128003,7.74829579272855,7.3142086273040405,2.3794374143765085,)","(6451,1291,1291,18560,)","(1.5375985797394118e-06,7.68799289869706e-06,7.68799289869706e-06,3.3034344486588926e-07,)"
tpch_order_f64,119999992,8,14999999,"( (0,1,2,3,), (6,), (5,4,), (7,), )",-1,87187952,74566327,112482078,74566765,112482395,1.376336859019237,1.6093053906222308,1.0668365497301713,1.6092959376741098,1.0668335431513527,5.395770571777678,23.40465111780649,"(5.0332604442751245,6.041557014632244,7.999321364770141,0.992923052948401,)","(20,5,4,28,)","(8.000000533333368e-07,1.0133334008888935e-05,8.53333390222226e-06,1.3333334222222282e-07,)"
astro_pt_f64,671088632,8,83886079,"( (0,1,2,3,4,5,), (6,), (7,), )",-1,671129611,529111235,520304996,529132705,520326586,0.9999389402593354,1.26833185086308,1.2897985549998447,1.268280387242365,1.2897450371678685,7.064884129749361,26.32192147349563,"(7.999993643281495,7.076691987091616,1.4424191912143047,)","(4,317,458,)","(5.086263081466314e-07,3.0517578488797887e-06,9.53674327774934e-08,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (0,1,), (2,), (3,), )",-1,15760808,12421906,12442483,12423655,12444232,1.5237358389239943,1.933302989090402,1.930105751400263,1.9330308190303096,1.9298344807457783,4.889876994383939,15.0417856625863,"(6.1252633873909055,5.982073298937283,1.3269079038166607,)","(48130,24065,24065,)","(2.131973489575899e-05,4.263946979151798e-05,2.1652855753505223e-06,)"
wave_f32,536870908,4,134217727,"( (0,1,), (2,), (3,), )",-1,520490084,352492189,345212754,352552589,345273151,1.031471923296045,1.5230717864219114,1.5551885084755588,1.5228108507806193,1.5549164667020403,6.9308282670797805,25.266672744409803,"(7.99999719826996,7.977070282103345,3.746248389675856,)","(5,142,314,)","(9.536743235116774e-07,1.9073486470233547e-06,2.831220647925292e-07,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,1,2,), (3,), )",-1,166599983,149475875,150054710,149475164,150056463,1.0372358561405135,1.156062648905718,1.1516031452794784,1.1560681478830823,1.1515896919414927,6.100469639298032,17.407346762848366,"(7.119602856803012,3.0430699867830926,)","(23,12,)","(1.9752689079780625e-06,5.78692062884198e-07,)"
tpcxbb_web_f64,986782672,8,123347834,"( (3,1,2,), (0,), (4,), (6,), (5,), (7,), )",-1,601151395,704588717,893578950,704590661,893579942,1.641487785285768,1.400508762333757,1.1043038469068682,1.4005048982617725,1.104302620973558,4.928496239358453,17.641660326923695,"(4.552180746174869,4.552179115718155,5.417655700674019,7.386403872541214,7.770544293156859,0.644644694252772,)","(57,19,16,7,12,74,)","(6.755962438167608e-08,2.0267887314502824e-07,2.075431661005089e-06,2.075431661005089e-06,2.075431661005089e-06,4.053577462900565e-08,)"
