Dataset,FeatureScenario,k,Silhouette,DaviesBouldin,CalinskiHarabasz,GapStatistic,ClusterConfig,CompressionTool,StandardSize(B),StandardRatio,DecomposedSize(B)_ColOrder,DecomposedRatio_ColOrder,DecomposedSize(B)_RowOrder,DecomposedRatio_RowOrder
solar_wind_f32,Entropy,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,400856912,1.0576854815465924,350557305,1.209447157291445,350557305,1.209447157291445
solar_wind_f32,Entropy_Mean,2,0.4214090963277462,0.5338861532557473,6.84186150431941,-0.9763957349686859,"(1,4)|(2,3)",fastlz,400856912,1.0576854815465924,405545343,1.0454577849757234,350569811,1.2094040122582033
solar_wind_f32,Entropy_Mean,3,0.13682630979772945,0.2736491891652215,5.923383471471739,-1.8695577723444892,"(1,4)|(2)|(3)",fastlz,400856912,1.0576854815465924,405641304,1.045210465056586,350557713,1.209445749664621
solar_wind_f32,Entropy_Mean,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,400856912,1.0576854815465924,350557305,1.209447157291445,350557305,1.209447157291445
solar_wind_f32,Entropy_Std,2,0.321557435461347,0.319457105766316,4.140820802510926,-0.793272290069476,"(1,2,3)|(4)",fastlz,400856912,1.0576854815465924,344945930,1.229121723511856,350574887,1.2093865012070872
solar_wind_f32,Entropy_Std,3,0.3535537641866546,0.1289226661935736,30.710144643016257,-0.5835464711549712,"(1,2)|(3)|(4)",fastlz,400856912,1.0576854815465924,338214208,1.2535858221544613,350569680,1.2094044641852655
solar_wind_f32,Entropy_Std,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,400856912,1.0576854815465924,350557305,1.209447157291445,350557305,1.209447157291445
solar_wind_f32,Entropy_Max,2,0.4119177555299479,0.5410723287902934,6.646226363049632,-0.9570329960573893,"(1,4)|(2,3)",fastlz,400856912,1.0576854815465924,405545343,1.0454577849757234,350569811,1.2094040122582033
solar_wind_f32,Entropy_Max,3,0.13059835081423962,0.27665176666119823,5.903774721543469,-1.074216808650553,"(1,4)|(2)|(3)",fastlz,400856912,1.0576854815465924,405641304,1.045210465056586,350557713,1.209445749664621
solar_wind_f32,Entropy_Max,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,400856912,1.0576854815465924,350557305,1.209447157291445,350557305,1.209447157291445
solar_wind_f32,Entropy_Min,2,0.27678765228100977,0.28501750173596585,4.325346877861481,-0.7360489496097004,"(1,2,4)|(3)",fastlz,400856912,1.0576854815465924,375795224,1.1282222575558862,350568199,1.20940957339944
solar_wind_f32,Entropy_Min,3,0.1286613057361209,0.27888834568358706,7.051075691382967,-1.5447876637015532,"(1,2)|(4)|(3)",fastlz,400856912,1.0576854815465924,338214208,1.2535858221544613,350569680,1.2094044641852655
solar_wind_f32,Entropy_Min,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,400856912,1.0576854815465924,350557305,1.209447157291445,350557305,1.209447157291445
