dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-based bz2 compressed size (B),standard bz2 compressed size (B),standard bz2 compression ratio,decomposed bz2 compression ratio,decomposed row-ordered bz2 compression ratio,reordered bz2 compression ratio,reordered row-based bz2 compression ratio,WE,entropy word,entropy list,max rep
citytemp_f32,11625300,4,2906325,"( (3,0,2,1,), )",-1,2932074,4083769,2932074,4083769,2958398,3.92959297565777,3.96487264646117,2.84670851852786,3.96487264646117,2.84670851852786,4.81012464512111,9.42903568098595,"(4.810124645121107,)","(7,)"
citytemp_f32,11625300,4,2906325,"( (1,0,2,3,), )",-1,2958489,4095900,2958489,4095900,2958398,3.92959297565777,3.92947210552414,2.83827730169194,3.92947210552414,2.83827730169194,4.81012464512111,9.42903568098595,"(4.810124645121107,)","(7,)"
citytemp_f32,11625300,4,2906325,"( (0,1,2,), (3,), )",-1,3045978,4087569,3051261,4095961,2958398,3.92959297565777,3.81660668593141,2.84406208188779,3.80999855469591,2.83823503202301,4.01866194446916,9.42903568098595,"(5.1429558828350315,0.645780129371529,)","(12,5505,)"
citytemp_f32,11625300,4,2906325,"( (0,3,2,1,), )",-1,2953552,4084651,2953552,4084651,2958398,3.92959297565777,3.93604040152332,2.84609382784478,3.93604040152332,2.84609382784478,4.81012464512111,9.42903568098595,"(4.810124645121107,)","(7,)"
citytemp_f32,11625300,4,2906325,"( (0,2,1,3,), )",-1,2959243,4088366,2959243,4088366,2958398,3.92959297565777,3.92847089610417,2.84350765073381,3.92847089610417,2.84350765073381,4.81012464512111,9.42903568098595,"(4.810124645121107,)","(7,)"
citytemp_f32,11625300,4,2906325,"( (1,), (2,0,3,), )",-1,3806926,4083661,3806917,4087971,2958398,3.92959297565777,3.05372366050719,2.84678380502201,3.05373087986946,2.84378240452293,4.3265592510638,9.42903568098595,"(2.319201665715632,4.995678446179861,)","(3002,5,)"
citytemp_f32,11625300,4,2906325,"( (0,), (2,1,3,), )",-1,3807280,4084310,3807083,4088366,2958398,3.92959297565777,3.05343972599861,2.8463314488861,3.05359772823445,2.84350765073381,4.32476808517422,9.42903568098595,"(2.319201665715632,4.993290224993748,)","(3002,5,)"
citytemp_f32,11625300,4,2906325,"( (2,3,), (0,1,), )",-1,3155659,4089247,3157610,4091261,2958398,3.92959297565777,3.68395317745041,2.84289503666567,3.68167696453964,2.84149556823679,3.86695971737819,9.42903568098595,"(5.02801015719418,2.7059092775622076,)","(9,6004,)"
citytemp_f32,11625300,4,2906325,"( (2,0,3,1,), )",-1,2944449,4086838,2944449,4086838,2958398,3.92959297565777,3.94820898578987,2.84457079042526,3.94820898578987,2.84457079042526,4.81012464512111,9.42903568098595,"(4.810124645121105,)","(6,)"
citytemp_f32,11625300,4,2906325,"( (1,2,), (0,3,), )",-1,3957444,4081894,3960894,4087971,2958398,3.92959297565777,2.93757789118431,2.84801614152646,2.93501921535896,2.84378240452293,4.15571881331825,9.42903568098595,"(5.829213434415731,2.4822241922207766,)","(9,3,)"
citytemp_f32,11625300,4,2906325,"( (1,), (2,), (3,0,), )",-1,4099873,4081109,4106803,4089061,2958398,3.92959297565777,2.83552685656361,2.8485639565128,2.83074206383895,2.84302435204562,3.69321721732118,9.42903568098595,"(2.319201665715632,7.4892188191275215,2.4822241922207766,)","(3002,3002,3,)"
citytemp_f32,11625300,4,2906325,"( (0,), (3,2,1,), )",-1,3768193,4090510,3764079,4084651,2958398,3.92959297565777,3.08511267867649,2.84201725457217,3.08848459344238,2.84609382784478,4.32476808517422,9.42903568098595,"(2.319201665715632,4.993290224993748,)","(3002,5,)"
citytemp_f32,11625300,4,2906325,"( (0,2,), (1,3,), )",-1,3956669,4081862,3960192,4088366,2958398,3.92959297565777,2.93815327994331,2.84803846871844,2.93553948899447,2.84350765073381,4.15750997920784,9.42903568098595,"(5.832795766194902,2.4822241922207766,)","(8,3,)"
citytemp_f32,11625300,4,2906325,"( (0,1,3,2,), )",-1,2943568,4088626,2943568,4088626,2958398,3.92959297565777,3.94939067145722,2.84332682911081,3.94939067145722,2.84332682911081,4.81012464512111,9.42903568098595,"(4.810124645121107,)","(7,)"
citytemp_f32,11625300,4,2906325,"( (0,), (1,), (2,3,), )",-1,4002620,4083753,4009558,4095961,2958398,3.92959297565777,2.90442260319491,2.84671967183128,2.89939689112865,2.83823503202301,3.67360591145491,9.42903568098595,"(2.319201665715632,2.319201665715632,5.02801015719418,)","(3002,3002,9,)"
citytemp_f32,11625300,4,2906325,"( (2,3,1,0,), )",-1,2937225,4091131,2937225,4091131,2958398,3.92959297565777,3.95791946480096,2.8415858597537,3.95791946480096,2.8415858597537,4.81012464512111,9.42903568098595,"(4.810124645121105,)","(6,)"
citytemp_f32,11625300,4,2906325,"( (0,), (2,3,1,), )",-1,3822913,4088573,3817616,4089744,2958398,3.92959297565777,3.04095332538303,2.84336368703702,3.04517269416306,2.84254955811415,4.32476808517422,9.42903568098595,"(2.319201665715632,4.993290224993748,)","(3002,4,)"
