Dataset,FeatureScenario,k,Silhouette,DaviesBouldin,CalinskiHarabasz,GapStatistic,ClusterConfig,CompressionTool,StandardSize(B),StandardRatio,DecomposedSize(B)_ColOrder,DecomposedRatio_ColOrder,DecomposedSize(B)_RowOrder,DecomposedRatio_RowOrder
tpcds_web_f32,Entropy_Std,2,0.465224709062649,0.2401476579916259,7.622236194036654,-0.5644201582260377,"(1,3,4)|(2)",zstd,20918058,1.238472710994491,21113310,1.2270195435959592,17745105,1.4599205809151312
tpcds_web_f32,Entropy_Std,3,0.43904809810131573,0.05382509708130212,219.34049911350598,0.33842548047194576,"(1,4)|(3)|(2)",zstd,20918058,1.238472710994491,19398709,1.3354725822218376,17734107,1.4608259665964574
tpcds_web_f32,Entropy_Std,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),zstd,20918058,1.238472710994491,17731317,1.461055825689654,17731317,1.461055825689654
tpcds_web_f32,Entropy_Max,2,0.7241943541443919,0.26674965377736043,22.00849292380879,-0.6068041959800519,"(2,3)|(1,4)",zstd,20918058,1.238472710994491,19571440,1.323686146752615,17735698,1.4606949216207898
tpcds_web_f32,Entropy_Max,3,0.42018831262606815,0.07036619519559363,67.85730438171439,-0.7604937776132776,"(2,3)|(1)|(4)",zstd,20918058,1.238472710994491,17904048,1.4469601511345367,17732908,1.4609247394730747
tpcds_web_f32,Entropy_Max,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),zstd,20918058,1.238472710994491,17731317,1.461055825689654,17731317,1.461055825689654
tpcds_web_f32,Entropy_Min,2,0.7211944576108491,0.26976975574435913,21.884618184238914,-0.4745166379541313,"(2,3)|(1,4)",zstd,20918058,1.238472710994491,19571440,1.323686146752615,17735698,1.4606949216207898
tpcds_web_f32,Entropy_Min,3,0.4157477552104736,0.07424696816031305,60.88307362152519,-0.23630143408846327,"(2,3)|(1)|(4)",zstd,20918058,1.238472710994491,17904048,1.4469601511345367,17732908,1.4609247394730747
tpcds_web_f32,Entropy_Min,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),zstd,20918058,1.238472710994491,17731317,1.461055825689654,17731317,1.461055825689654
tpcds_web_f32,Frequency,2,0.4204930493753857,0.22766005816410279,8.227428983777997,-0.7334081081033581,"(1,2,3)|(4)",zstd,20918058,1.238472710994491,18848744,1.3744387424435283,17740636,1.4602883459195037
