dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed huffman_compress compressed size (B),reordered huffman_compress compressed size (B),standard huffman_compress compressed size (B),decomposed zstd compressed size (B),reordered zstd compressed size (B),standard zstd compressed size (B),decomposed zlib compressed size (B),reordered zlib compressed size (B),standard zlib compressed size (B),decomposed bz2 compressed size (B),reordered bz2 compressed size (B),standard bz2 compressed size (B),decomposed snappy compressed size (B),reordered snappy compressed size (B),standard snappy compressed size (B),decomposed fastlz compressed size (B),reordered fastlz compressed size (B),standard fastlz compressed size (B),decomposed rle compressed size (B),reordered rle compressed size (B),standard rle compressed size (B),WE,entropy word,entropy list,max rep,unique ratio
citytemp_f32,11625300,4,2906325,"( (0,2,1,), (3,), )",-1,6047611,7052810,7052810,4772334,4848982,4363764,4594754,4834827,4429315,3057269,2959243,2958398,7473319,7338663,7241687,7875306,7299864,6975207,16879508,23163784,19613524,4.018661944469156,9.429035680985953,"(5.1429558828350315,0.645780129371529,)","(12,5505,)","(2.9361249458795328e-05,4.473002847238351e-06,)"
citytemp_f32,11625300,4,2906325,"( (2,1,0,3,), )",-1,7052810,7052810,7052810,4407998,4407998,4363764,4291780,4291780,4429315,2919931,2919931,2958398,6904538,6904538,7241687,6787314,6787314,6975207,19613958,19613958,19613524,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(7,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (0,2,3,1,), )",-1,7052810,7052810,7052810,4865440,4865440,4363764,4873632,4873632,4429315,2983789,2983789,2958398,7448772,7448772,7241687,7592593,7592593,6975207,22371606,22371606,19613524,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(6,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,2,0,3,), )",-1,7052810,7052810,7052810,4850225,4850225,4363764,4835029,4835029,4429315,2961304,2961304,2958398,7344977,7344977,7241687,7303447,7303447,6975207,23163784,23163784,19613524,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(7,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (0,1,2,3,), )",-1,7052810,7052810,7052810,4363764,4363764,4363764,4429315,4429315,4429315,2958398,2958398,2958398,7241687,7241687,7241687,6975207,6975207,6975207,19613524,19613524,19613524,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(7,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,0,), (2,3,), )",-1,5755889,7052810,7052810,4115776,4362212,4363764,4069528,4429314,4429315,3154899,2958489,2958398,7001857,7240394,7241687,7249891,6977347,6975207,18822268,19622230,19613524,3.8669597173781938,9.429035680985953,"(2.7059092775622076,5.02801015719418,)","(6004,9,)","(1.204269997333402e-06,4.404187418819299e-05,)"
citytemp_f32,11625300,4,2906325,"( (3,1,0,), (2,), )",-1,5991217,7052810,7052810,4205109,4404167,4363764,3806656,4430115,4429315,3208167,2932455,2958398,5588035,7277370,7241687,6672412,7044838,6975207,19259670,19622606,19613524,4.07528335122948,9.429035680985953,"(2.9373048619301323,7.4892188191275215,)","(5,3002,)","(2.179155233269966e-06,8.808374837638598e-05,)"
citytemp_f32,11625300,4,2906325,"( (2,3,1,), (0,), )",-1,6408701,7052810,7052810,5323167,4397689,4363764,5090956,4428161,4429315,3822913,2937225,2958398,8196634,6974177,7241687,8154883,6994224,6975207,21940448,19635154,19613524,4.324768085174219,9.429035680985953,"(4.993290224993748,2.319201665715632,)","(4,3002,)","(2.9361249458795328e-05,1.7203857104762889e-06,)"
citytemp_f32,11625300,4,2906325,"( (1,), (0,2,), (3,), )",-1,5629117,7052810,7052810,5170244,4362212,4363764,4905377,4429314,4429315,3936193,2958489,2958398,7335002,7240394,7241687,7575559,6977347,6975207,16458312,19622230,19613524,3.657643331869241,9.429035680985953,"(2.319201665715632,5.832795766194902,0.645780129371529,)","(3002,8,5505,)","(1.7203857104762889e-06,4.404187418819299e-05,4.473002847238351e-06,)"
citytemp_f32,11625300,4,2906325,"( (1,3,0,), (2,), )",-1,5991217,7052810,7052810,4187853,4433371,4363764,3834735,4339804,4429315,3214607,2960057,2958398,5639391,7238330,7241687,6674865,6976482,6975207,22009038,23184586,19613524,4.07528335122948,9.429035680985953,"(2.9373048619301323,7.4892188191275215,)","(5,3002,)","(2.179155233269966e-06,8.808374837638598e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,0,), (2,), (3,), )",-1,5242298,7052810,7052810,3887417,4362212,4363764,3677347,4429314,4429315,3231183,2958489,2958398,5711297,7240394,7241687,5777715,6977347,6975207,12975696,19622230,19613524,3.3867043759058664,9.429035680985953,"(2.7059092775622076,7.4892188191275215,0.645780129371529,)","(6004,3002,5505,)","(1.204269997333402e-06,8.808374837638598e-05,4.473002847238351e-06,)"
citytemp_f32,11625300,4,2906325,"( (2,0,1,3,), )",-1,7052810,7052810,7052810,4403058,4403058,4363764,4291780,4291780,4429315,2917852,2917852,2958398,6898159,6898159,7241687,6802429,6802429,6975207,19622664,19622664,19613524,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(7,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (3,1,), (2,), (0,), )",-1,5514869,7052810,7052810,4986769,4846643,4363764,4681524,4837606,4429315,4100173,2932171,2958398,7001650,7364179,7241687,7246212,7309911,6975207,21565576,23163792,19613524,3.693217217321177,9.429035680985953,"(2.4822241922207766,7.4892188191275215,2.319201665715632,)","(3,3002,3002,)","(2.9246557078096907e-06,8.808374837638598e-05,1.7203857104762889e-06,)"
citytemp_f32,11625300,4,2906325,"( (3,2,0,1,), )",-1,7052810,7052810,7052810,4424295,4424295,4363764,4323796,4323796,4429315,2877829,2877829,2958398,6953248,6953248,7241687,6744237,6744237,6975207,19622238,19622238,19613524,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(7,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,), (3,), (2,0,), )",-1,5629117,7052810,7052810,5171867,4720784,4363764,4896225,4935205,4429315,3901616,2955558,2958398,7329654,7544898,7241687,7574190,7721740,6975207,16457668,22371606,19613524,3.6576433318692407,9.429035680985953,"(2.319201665715632,0.645780129371529,5.832795766194901,)","(3002,5505,9,)","(1.7203857104762889e-06,4.473002847238351e-06,4.404187418819299e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,3,0,2,), )",-1,7052810,7052810,7052810,4433371,4433371,4363764,4339804,4339804,4429315,2960057,2960057,2958398,7238330,7238330,7241687,6976482,6976482,6975207,23184586,23184586,19613524,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(7,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (0,), (1,), (3,2,), )",-1,5544723,7052810,7052810,5092498,4431636,4363764,4901599,4330936,4429315,3970167,2943568,2958398,7529644,7130917,7241687,7959815,6780044,6975207,20684158,19635798,19613524,3.6736059114549064,9.429035680985953,"(2.319201665715632,2.319201665715632,5.02801015719418,)","(3002,3002,9,)","(1.7203857104762889e-06,1.7203857104762889e-06,4.404187418819299e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,3,2,0,), )",-1,7052810,7052810,7052810,4720784,4720784,4363764,4935205,4935205,4429315,2955558,2955558,2958398,7544898,7544898,7241687,7721740,7721740,6975207,22371606,22371606,19613524,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(7,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (2,), (0,3,1,), )",-1,5991217,7052810,7052810,4186772,4391933,4363764,3834735,4299974,4429315,3214537,2944449,2958398,5636266,6936501,7241687,6674049,6966087,6975207,22009038,23184802,19613524,4.07528335122948,9.429035680985953,"(7.4892188191275215,2.9373048619301323,)","(3002,5,)","(8.808374837638598e-05,2.179155233269966e-06,)"
citytemp_f32,11625300,4,2906325,"( (0,), (3,1,2,), )",-1,6408701,7052810,7052810,5328164,4432869,4363764,5078470,4339743,4429315,3817151,2959904,2958398,8136765,7224235,7241687,8175065,6951494,6975207,21919806,23177352,19613524,4.324768085174219,9.429035680985953,"(2.319201665715632,4.993290224993748,)","(3002,5,)","(1.7203857104762889e-06,2.9361249458795328e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,), (2,), (0,3,), )",-1,5514869,7052810,7052810,4982742,4850225,4363764,4681941,4835029,4429315,4099080,2961304,2958398,6943967,7344977,7241687,7220102,7303447,6975207,21565568,23163784,19613524,3.693217217321177,9.429035680985953,"(2.319201665715632,7.4892188191275215,2.4822241922207766,)","(3002,3002,3,)","(1.7203857104762889e-06,8.808374837638598e-05,2.9246557078096907e-06,)"
citytemp_f32,11625300,4,2906325,"( (3,1,), (2,0,), )",-1,6112854,7052810,7052810,5298771,4846643,4363764,5068493,4837606,4429315,3922885,2932171,2958398,8099313,7364179,7241687,8333171,7309911,6975207,23185600,23163792,19613524,4.157509979207839,9.429035680985953,"(2.4822241922207766,5.832795766194901,)","(3,9,)","(2.9246557078096907e-06,4.404187418819299e-05,)"
citytemp_f32,11625300,4,2906325,"( (0,), (1,3,2,), )",-1,6408701,7052810,7052810,5343513,4431636,4363764,5123640,4330936,4429315,3827130,2943568,2958398,8251123,7130917,7241687,8099825,6780044,6975207,21940232,19635798,19613524,4.324768085174219,9.429035680985953,"(2.319201665715632,4.993290224993748,)","(3002,5,)","(1.7203857104762889e-06,2.9361249458795328e-05,)"
citytemp_f32,11625300,4,2906325,"( (0,1,), (2,), (3,), )",-1,5242298,7052810,7052810,3891676,4363764,4363764,3677347,4429315,4429315,3231943,2958398,2958398,5702276,7241687,7241687,5777715,6975207,6975207,12975696,19613524,19613524,3.3867043759058664,9.429035680985953,"(2.7059092775622076,7.4892188191275215,0.645780129371529,)","(6004,3002,5505,)","(1.204269997333402e-06,8.808374837638598e-05,4.473002847238351e-06,)"
citytemp_f32,11625300,4,2906325,"( (3,1,), (0,2,), )",-1,6112854,7052810,7052810,5297148,4404167,4363764,5077645,4430115,4429315,3957462,2932455,2958398,8104661,7277370,7241687,8334540,7044838,6975207,23186244,19622606,19613524,4.157509979207839,9.429035680985953,"(2.4822241922207766,5.832795766194902,)","(3,8,)","(2.9246557078096907e-06,4.404187418819299e-05,)"
citytemp_f32,11625300,4,2906325,"( (2,0,), (1,), (3,), )",-1,5629117,7052810,7052810,5171867,4403058,4363764,4896225,4291780,4429315,3901616,2917852,2958398,7329654,6898159,7241687,7574190,6802429,6975207,16457668,19622664,19613524,3.6576433318692407,9.429035680985953,"(5.832795766194901,2.319201665715632,0.645780129371529,)","(9,3002,5505,)","(4.404187418819299e-05,1.7203857104762889e-06,4.473002847238351e-06,)"
citytemp_f32,11625300,4,2906325,"( (0,), (2,), (3,1,), )",-1,5514869,7052810,7052810,4986769,4865440,4363764,4681524,4873632,4429315,4100173,2983789,2958398,7001650,7448772,7241687,7246212,7592593,6975207,21565576,22371606,19613524,3.693217217321177,9.429035680985953,"(2.319201665715632,7.4892188191275215,2.4822241922207766,)","(3002,3002,3,)","(1.7203857104762889e-06,8.808374837638598e-05,2.9246557078096907e-06,)"
citytemp_f32,11625300,4,2906325,"( (0,1,), (3,2,), )",-1,5755889,7052810,7052810,4124309,4431636,4363764,4069690,4330936,4429315,3123206,2943568,2958398,6999929,7130917,7241687,7250299,6780044,6975207,18822210,19635798,19613524,3.8669597173781938,9.429035680985953,"(2.7059092775622076,5.02801015719418,)","(6004,9,)","(1.204269997333402e-06,4.404187418819299e-05,)"
citytemp_f32,11625300,4,2906325,"( (2,1,3,0,), )",-1,7052810,7052810,7052810,4393456,4393456,4363764,4300038,4300038,4429315,2943917,2943917,2958398,6949204,6949204,7241687,6952593,6952593,6975207,23176708,23176708,19613524,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(6,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,2,3,0,), )",-1,7052810,7052810,7052810,4872042,4872042,4363764,4873588,4873588,4429315,2985047,2985047,2958398,7454979,7454979,7241687,7587051,7587051,6975207,22362900,22362900,19613524,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(6,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (2,0,), (1,3,), )",-1,6112854,7052810,7052810,5293884,4403058,4363764,5068910,4291780,4429315,3922092,2917852,2958398,8100066,6898159,7241687,8329832,6802429,6975207,23185592,19622664,19613524,4.157509979207839,9.429035680985953,"(5.832795766194901,2.4822241922207766,)","(9,3,)","(4.404187418819299e-05,2.9246557078096907e-06,)"
citytemp_f32,11625300,4,2906325,"( (3,2,1,0,), )",-1,7052810,7052810,7052810,4428043,4428043,4363764,4323798,4323798,4429315,2877340,2877340,2958398,6955703,6955703,7241687,6721422,6721422,6975207,19613532,19613532,19613524,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(7,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (3,1,0,2,), )",-1,7052810,7052810,7052810,4404167,4404167,4363764,4430115,4430115,4429315,2932455,2932455,2958398,7277370,7277370,7241687,7044838,7044838,6975207,19622606,19622606,19613524,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(7,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (2,3,), (1,), (0,), )",-1,5544723,7052810,7052810,5088224,4397689,4363764,4901437,4428161,4429315,4002620,2937225,2958398,7522551,6974177,7241687,7959407,6994224,6975207,20684216,19635154,19613524,3.673605911454906,9.429035680985953,"(5.02801015719418,2.319201665715632,2.319201665715632,)","(9,3002,3002,)","(4.404187418819299e-05,1.7203857104762889e-06,1.7203857104762889e-06,)"
citytemp_f32,11625300,4,2906325,"( (1,0,3,2,), )",-1,7052810,7052810,7052810,4431126,4431126,4363764,4330936,4330936,4429315,2942629,2942629,2958398,7138417,7138417,7241687,6794196,6794196,6975207,19634326,19634326,19613524,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(7,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,), (3,2,0,), )",-1,6411175,7052810,7052810,5335050,4720784,4363764,5102879,4935205,4429315,3769855,2955558,2958398,8115328,7544898,7241687,8217440,7721740,6975207,21928144,22371606,19613524,4.326559251063804,9.429035680985953,"(2.319201665715632,4.995678446179861,)","(3002,5,)","(1.7203857104762889e-06,2.9361249458795328e-05,)"
citytemp_f32,11625300,4,2906325,"( (2,0,1,), (3,), )",-1,6047611,7052810,7052810,4352214,4403058,4363764,4186944,4291780,4429315,3009123,2917852,2958398,6968095,6898159,7241687,6556374,6802429,6975207,14151150,19622664,19613524,4.018661944469156,9.429035680985953,"(5.1429558828350315,0.645780129371529,)","(13,5505,)","(2.9361249458795328e-05,4.473002847238351e-06,)"
citytemp_f32,11625300,4,2906325,"( (0,3,1,2,), )",-1,7052810,7052810,7052810,4432869,4432869,4363764,4339743,4339743,4429315,2959904,2959904,2958398,7224235,7224235,7241687,6951494,6951494,6975207,23177352,23177352,19613524,4.810124645121105,9.429035680985953,"(4.810124645121105,)","(7,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (2,3,), (1,0,), )",-1,5755889,7052810,7052810,4115776,4397689,4363764,4069528,4428161,4429315,3154899,2937225,2958398,7001857,6974177,7241687,7249891,6994224,6975207,18822268,19635154,19613524,3.8669597173781938,9.429035680985953,"(5.02801015719418,2.7059092775622076,)","(9,6004,)","(4.404187418819299e-05,1.204269997333402e-06,)"
citytemp_f32,11625300,4,2906325,"( (0,1,), (2,3,), )",-1,5755889,7052810,7052810,4120035,4363764,4363764,4069528,4429315,4429315,3155659,2958398,2958398,6992836,7241687,7241687,7249891,6975207,6975207,18822268,19613524,19613524,3.8669597173781938,9.429035680985953,"(2.7059092775622076,5.02801015719418,)","(6004,9,)","(1.204269997333402e-06,4.404187418819299e-05,)"
citytemp_f32,11625300,4,2906325,"( (3,1,), (0,), (2,), )",-1,5514869,7052810,7052810,4986769,4404167,4363764,4681524,4430115,4429315,4100173,2932455,2958398,7001650,7277370,7241687,7246212,7044838,6975207,21565576,19622606,19613524,3.693217217321177,9.429035680985953,"(2.4822241922207766,2.319201665715632,7.4892188191275215,)","(3,3002,3002,)","(2.9246557078096907e-06,1.7203857104762889e-06,8.808374837638598e-05,)"
citytemp_f32,11625300,4,2906325,"( (0,3,), (2,1,), )",-1,6110324,7052810,7052810,5291880,4728897,4363764,5067922,4934687,4429315,3922334,2953552,2958398,8100138,7505249,7241687,8323295,7717903,6975207,23176274,22362900,19613524,4.155718813318254,9.429035680985953,"(2.4822241922207766,5.829213434415732,)","(3,9,)","(2.9246557078096907e-06,4.404187418819299e-05,)"
citytemp_f32,11625300,4,2906325,"( (3,0,2,1,), )",-1,7052810,7052810,7052810,4847272,4847272,4363764,4837437,4837437,4429315,2932074,2932074,2958398,7356766,7356766,7241687,7303968,7303968,6975207,23163792,23163792,19613524,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(7,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,0,2,3,), )",-1,7052810,7052810,7052810,4362212,4362212,4363764,4429314,4429314,4429315,2958489,2958489,2958398,7240394,7240394,7241687,6977347,6977347,6975207,19622230,19622230,19613524,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(7,)","(2.2020937094096496e-05,)"
