DatasetName,FullEntropy,ConditionalEntropy,EntropyRatio,CompRatioFull,CompRatioChunk,CompRatioRatio,compressmethod
tpch_lineitem_f32,4.98861015446184,3.01353115902393,1.65540354196226,2.0164,1.92254,1.04882083077595,lz4
ts_gas_f32,7.46455019288189,7.71928198123493,0.967000585161641,2.20833,2.01602,1.09539091874089,lz4
turbulence_f32,7.54346010811328,7.9999649328779,0.942936646773476,0.996271,1.20655,0.825718784965397,lz4
wave_f32,7.60906501618041,7.99999222241164,0.951134051713692,1.07685,1.65645,0.650095082857919,lz4
astro_mhd_f64,1.48118288926329,0.509893270271297,2.90488809251238,25.2159,28.6538,0.8800194040581,lz4
astro_pt_f64,7.65116036327628,7.9999933007301,0.956395846303773,0.998564,1.27429,0.783623821892976,lz4
jane_street_f64,7.66599654617929,7.93895726585233,0.965617560274935,1.06196,1.11827,0.949645434465737,lz4
msg_bt_f64,7.56573587264567,7.82779248974803,0.966522283588181,1.06529,1.31251,0.811643339860268,lz4
num_brain_f64,7.50211285935302,7.99996667578959,0.937768013716454,0.997068,1.20346,0.828501155003074,lz4
num_control_f64,7.78547757454274,7.99835792577519,0.973384493016195,1.01299,1.10428,0.917330749447604,lz4
nyc_taxi2015_f64,4.90848442002347,2.40371728665902,2.04203898988715,2.58677,2.25229,1.14850663102886,lz4
phone_gyro_f64,7.46021053573337,7.71409471365034,0.967088273175113,2.60782,2.07752,1.25525626708768,lz4
tpch_order_f64,6.70619822600387,4.6438518357549,1.44410253883858,1.59771,1.63882,0.974914877777913,lz4
tpcxbb_store_f64,6.02599095336725,4.49798695517668,1.33970841032164,2.02862,2.1493,0.943851486530498,lz4
tpcxbb_web_f64,6.11077617327036,4.5521788592265,1.34238490231658,1.98594,2.10635,0.942834761554348,lz4
wesad_chest_f64,4.64556478807987,0.89527689154252,5.18896983934856,2.95311,2.64504,1.11647082841847,lz4
acs_wht_f32,6.44260130394359,7.41259708328581,0.869142249545791,1.36209,1.583,0.860448515476942,zlib
citytemp_f32,4.81012450262278,2.3192002101749,2.07404452686732,2.52974,3.07994,0.821360156366682,zlib
g24_78_usb2_f32,7.36403617092632,7.83019905149768,0.940466024234442,1.0818,1.21007,0.89399786789194,zlib
hst_wfc3_ir_f32,5.41083271802038,6.12493611586909,0.883410474111142,1.76092,2.00758,0.877135655864274,zlib
hst_wfc3_uvis_f32,5.46716609544466,5.87370133178469,0.930787213483238,1.74917,1.92688,0.907773187743918,zlib
jw_mirimage_f32,7.36873406345358,7.99763226651808,0.921364451114192,1.14465,1.37562,0.83209752693331,zlib
rsim_f32,6.31840620325326,6.75148555708795,0.935854213095364,1.4507,1.77808,0.815880050391434,zlib
solar_wind_f32,6.77188867758311,4.66984601308276,1.45013104470927,1.58197,1.58144,1.00033513759612,zlib
spitzer_irac_f32,6.90610610138057,7.13215799344468,0.968305260165033,1.07414,1.17487,0.914262854613702,zlib
tpcds_catalog_f32,6.76022046270766,4.53381137145238,1.49106786957968,1.30091,1.41673,0.918248360661523,zlib
tpcds_store_f32,6.34553546804537,4.20156456545969,1.51027917557447,1.44952,1.52033,0.953424585451843,zlib
tpcds_web_f32,6.76217061413825,4.53947231137457,1.48963803506286,1.30122,1.41727,0.918117225369901,zlib
tpch_lineitem_f32,5.31237619364111,3.50894908837986,1.51395077552804,2.66923,2.58655,1.03196535926234,zlib
ts_gas_f32,7.26500109980205,7.75690510298577,0.93658501726489,2.76821,2.14348,1.29145595013716,zlib
turbulence_f32,7.27129843224274,7.99996665300804,0.908916092732547,1.0917,1.26279,0.8645142897869,zlib
wave_f32,7.55178876404903,7.99999248808574,0.943974481888051,1.15436,1.65772,0.696354028424583,zlib
astro_mhd_f64,1.48118288926329,0.509893270271297,2.90488809251238,27.7526,29.78,0.931920752182673,zlib
astro_pt_f64,7.65116036327628,7.9999933007301,0.956395846303773,1.04798,1.28777,0.813794388749544,zlib
msg_bt_f64,7.56573587264567,7.82779248974803,0.966522283588181,1.13069,1.34627,0.839868674188684,zlib
num_brain_f64,7.50211285935302,7.99996667578959,0.937768013716454,1.06403,1.23103,0.864341242699203,zlib
num_control_f64,7.78547757454274,7.99835792577519,0.973384493016195,1.0569,1.15219,0.917296626424461,zlib
nyc_taxi2015_f64,4.90848442002347,2.40371711952292,2.04203913187492,2.95416,2.75653,1.07169521100804,zlib
phone_gyro_f64,7.46021053573337,7.71409471365034,0.967088273175113,2.85479,2.58862,1.10282312583539,zlib
tpch_order_f64,6.70619822600387,4.6438518357549,1.44410253883858,1.8637,2.10211,0.886585383257774,zlib
tpcxbb_store_f64,6.02599095336725,4.49798695517668,1.33970841032164,2.47032,2.61672,0.944052095753462,zlib
tpcxbb_web_f64,6.11077617327036,4.5521788592265,1.34238490231658,2.38202,2.5414,0.937286534980719,zlib
wesad_chest_f64,4.64556478807987,1.13618395429321,4.0887435265443,3.34363,3.32312,1.00617191073449,zlib
