dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-based fastlz compressed size (B),standard fastlz compressed size (B),standard fastlz compression ratio,decomposed fastlz compression ratio,decomposed row-ordered fastlz compression ratio,reordered fastlz compression ratio,reordered row-based fastlz compression ratio,WE,entropy word,entropy list,max rep,unique ratio
tpcds_store_f32,276515948,4,69128987,"( (1,), (2,3,0,), )",-1,257225746,239557663,257225423,239559770,248300992,1.1136320711920473,1.0749932784722103,1.1542771979704944,1.0749946283497802,1.1542670457564723,6.160911060848515,16.143733431754548,"(6.496374715923572,6.0490898424901625,)","(22,14,)","(3.703222209809034e-06,1.234407403269678e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (2,1,), (3,0,), )",-1,255807863,239561489,255807869,239553935,248300992,1.1136320711920473,1.0809517141386698,1.15425876318543,1.0809516887848356,1.1542951611293715,5.800801581976053,16.143733431754548,"(7.037762355951214,4.563840808000893,)","(10,9,)","(1.851611104904517e-06,4.990670556187956e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (2,3,0,1,), )",-1,240703205,239557773,240703205,239557773,248300992,1.1136320711920473,1.1487838227995344,1.1542766679501566,1.1487838227995344,1.1542766679501566,6.345535458137,16.143733431754548,"(6.345535458137,)","(19,)","(9.258055524522585e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (0,), (1,2,3,), )",-1,257583730,239560531,257583363,239558331,248300992,1.1136320711920473,1.073499277302957,1.1542633790538726,1.0735008068048246,1.154273979309031,5.905925047296245,16.143733431754548,"(4.264900639053485,6.452933183377166,)","(24,14,)","(7.23285587853327e-07,1.234407403269678e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (3,1,2,0,), )",-1,248130211,239561113,248130211,239561113,248300992,1.1136320711920473,1.1143985526212283,1.1542605748371189,1.1143985526212283,1.1542605748371189,6.345535458137,16.143733431754548,"(6.345535458137,)","(19,)","(9.258055524522585e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (1,3,), (2,0,), )",-1,266971355,239556976,266971244,239556631,248300992,1.1136320711920473,1.0357513748993783,1.1542805081994356,1.0357518055390265,1.1542821705486417,6.018241249962122,16.143733431754548,"(5.630165563449759,6.406316936474484,)","(9,11,)","(1.851611104904517e-06,1.851611104904517e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (3,0,1,2,), )",-1,246332892,239561654,246332892,239561654,248300992,1.1136320711920473,1.122529540228838,1.1542579681805003,1.122529540228838,1.1542579681805003,6.345535458137,16.143733431754548,"(6.345535458137,)","(19,)","(9.258055524522585e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (1,2,), (3,0,), )",-1,255857076,239561519,255857112,239559770,248300992,1.1136320711920473,1.080743797759965,1.1542586186389976,1.0807436456954926,1.1542670457564723,5.800801581976053,16.143733431754548,"(7.037762355951213,4.563840808000893,)","(11,9,)","(1.851611104904517e-06,4.990670556187956e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (0,), (1,), (2,), (3,), )",-1,239561931,239561931,239558331,239558331,248300992,1.1136320711920473,1.1542566335383229,1.1542566335383229,1.154273979309031,1.154273979309031,5.327956436064557,16.143733431754548,"(4.264900639053485,6.496374715923572,7.282603977588382,3.2679464116927917,)","(24,22,17,17,)","(7.23285587853327e-07,3.703222209809034e-06,3.703222209809034e-06,3.47177082169597e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (0,), (3,), (2,1,), )",-1,238047808,239561882,238040715,239555820,248300992,1.1136320711920473,1.1615983794314124,1.1542568696300357,1.161632992070285,1.1542860782927336,5.402092940662176,16.143733431754548,"(4.264900639053485,3.2679464116927917,7.037762355951214,)","(24,17,10,)","(7.23285587853327e-07,3.47177082169597e-07,1.851611104904517e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (1,), (3,0,2,), )",-1,255711958,239561570,255711769,239555748,248300992,1.1136320711920473,1.0813571260519619,1.1542583729101459,1.0813579252975252,1.154286425220738,6.160911060848515,16.143733431754548,"(6.496374715923572,6.0490898424901625,)","(22,14,)","(3.703222209809034e-06,1.234407403269678e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (0,2,1,), (3,), )",-1,226063974,239562055,226056564,239559843,248300992,1.1136320711920473,1.223175648500278,1.154256036082175,1.223215743472063,1.1542666940218358,5.748979459390979,16.143733431754548,"(6.575990475290375,3.2679464116927917,)","(16,17,)","(1.234407403269678e-06,3.47177082169597e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (2,1,0,3,), )",-1,241708460,239557867,241708460,239557867,248300992,1.1136320711920473,1.1440060807139312,1.1542762150240717,1.1440060807139312,1.1542762150240717,6.345535458137,16.143733431754548,"(6.345535458137,)","(19,)","(9.258055524522585e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (0,2,3,1,), )",-1,248037702,239560704,248037702,239560704,248300992,1.1136320711920473,1.114814182563262,1.1542625454966102,1.114814182563262,1.1542625454966102,6.345535458137001,16.143733431754548,"(6.345535458137001,)","(18,)","(9.258055524522585e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (1,2,0,3,), )",-1,246809368,239557972,246809368,239557972,248300992,1.1136320711920473,1.1203624491271336,1.1542757090964186,1.1203624491271336,1.1542757090964186,6.345535458137,16.143733431754548,"(6.345535458137,)","(19,)","(9.258055524522585e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (0,1,2,3,), )",-1,248300992,239558331,248300992,239558331,248300992,1.1136320711920473,1.1136320711920473,1.154273979309031,1.1136320711920473,1.154273979309031,6.345535458137,16.143733431754548,"(6.345535458137,)","(19,)","(9.258055524522585e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (1,0,), (2,3,), )",-1,261653102,239558968,261653248,239558102,248300992,1.1136320711920473,1.0568036300215542,1.1542709100333075,1.0568030403352762,1.154275082710415,5.94240141669565,16.143733431754548,"(5.860843546947013,6.023959286444287,)","(44,9,)","(1.851611104904517e-06,1.851611104904517e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (3,1,0,), (2,), )",-1,240269453,239560273,240269565,239560342,248300992,1.1136320711920473,1.1508576914269664,1.1542646221646273,1.1508571549625939,1.1542642897045121,6.09007972234423,16.143733431754548,"(5.692571637262845,7.282603977588382,)","(14,17,)","(1.234407403269678e-06,3.703222209809034e-06,)"
