dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-based zstd compressed size (B),standard zstd compressed size (B),standard zstd compression ratio,decomposed zstd compression ratio,decomposed row-ordered zstd compression ratio,reordered zstd compression ratio,reordered row-based zstd compression ratio,WE,entropy word,entropy list,max rep,unique ratio
hdr_palermo_f32,843454588,4,210863647,"( (0,), (1,2,), (3,), )",-1,213675091,194621794,214020896,195130824,244425506,3.45076339128045,3.947369738103914,4.333813652956051,3.940991761851142,4.322508206084345,2.917147619844829,9.339189132243394,"(-0.0,4.839640865582987,1.9893087482133431,)","(210863647,41,4367,)","(4.742401140391923e-09,5.785729391278147e-07,4.268161026352731e-08,)"
hdr_palermo_f32,843454588,4,210863647,"( (2,), (1,0,3,), )",-1,200672739,194612798,202263085,195204440,244425506,3.45076339128045,4.203134876232491,4.334013984013528,4.170086637410875,4.320878090682774,3.1246228508279854,9.339189132243394,"(7.754369490025784,1.5813739710953856,)","(31,59,)","(1.1571458782556293e-06,1.422720342117577e-08,)"
hdr_palermo_f32,843454588,4,210863647,"( (1,), (2,3,0,), )",-1,228701691,195178044,228701104,195148007,244425506,3.45076339128045,3.6880120313583515,4.321462448921765,3.688021497263957,4.322127604408483,3.5739952737754646,9.339189132243394,"(-0.0,4.765327031700619,)","(210863647,58,)","(4.742401140391923e-09,3.8571529275187643e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (2,1,), (3,0,), )",-1,216747123,194609119,217039734,195212539,244425506,3.45076339128045,3.8914223004473283,4.334095916646126,3.8861759202119184,4.320698825601567,3.4171299413696,9.339189132243394,"(4.839640865582988,1.9946190171562126,)","(41,39,)","(5.785729391278147e-07,2.1340805131763654e-08,)"
hdr_palermo_f32,843454588,4,210863647,"( (2,3,0,1,), )",-1,244409244,195178025,244409244,195178025,244425506,3.45076339128045,3.4509929910834307,4.321462869603276,3.4509929910834307,4.321462869603276,3.882997527622188,9.339189132243394,"(3.882997527622188,)","(78,)","(2.8928646956390734e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (0,), (1,2,3,), )",-1,228694090,195148020,228691195,195130824,244425506,3.45076339128045,3.688134608113397,4.322127316485199,3.6881812961797675,4.322508206084345,3.5739952737754646,9.339189132243394,"(-0.0,4.765327031700619,)","(210863647,58,)","(4.742401140391923e-09,3.8571529275187643e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (3,1,2,0,), )",-1,247445983,194611737,247445983,194611737,244425506,3.45076339128045,3.4086412629296956,4.334037612541324,3.4086412629296956,4.334037612541324,3.8829975276221873,9.339189132243394,"(3.8829975276221873,)","(79,)","(2.8928646956390734e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (1,3,), (2,0,), )",-1,216750785,194601667,216758024,194604674,244425506,3.45076339128045,3.8913565549485782,4.334261884817256,3.891226596529594,4.334194912502461,3.4171299413696,9.339189132243394,"(1.9946190171562126,4.839640865582988,)","(39,41,)","(2.1340805131763654e-08,5.785729391278147e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (3,0,1,2,), )",-1,245541671,194625547,245541671,194625547,244425506,3.45076339128045,3.4350771686326107,4.333730083235167,3.4350771686326107,4.333730083235167,3.8829975276221873,9.339189132243394,"(3.8829975276221873,)","(79,)","(2.8928646956390734e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (1,2,), (3,0,), )",-1,216753950,194621781,217046427,195148007,244425506,3.45076339128045,3.891299734099425,4.333813942438437,3.8860560832913413,4.322127604408483,3.4171299413695997,9.339189132243394,"(4.839640865582987,1.9946190171562126,)","(41,39,)","(5.785729391278147e-07,2.1340805131763654e-08,)"
