dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed blosc compressed size (B),decomposed row-ordered blosc compressed size (B),reordered blosc compressed size (B),reordered row-based blosc compressed size (B),standard blosc compressed size (B),standard blosc compression ratio,decomposed blosc compression ratio,decomposed row-ordered blosc compression ratio,reordered blosc compression ratio,reordered row-based blosc compression ratio,WE,entropy word,entropy list,max rep,unique ratio
rsim_f32,94281724,4,23570431,"( (2,), (1,0,3,), )",-1,60638276,50341142,60639842,50338687,64098091,1.4708975342182968,1.554821974160347,1.872856281250036,1.5547818214961708,1.8729476197899242,6.248799998494674,18.49633411327401,"(6.7164776811353395,6.092907437614452,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (1,), (2,3,0,), )",-1,63038644,50339603,63037884,50342664,64098091,1.4708975342182968,1.4956178943189198,1.8729135388691882,1.4956359258505567,1.8727996595492047,6.252732705914422,18.49633411327401,"(6.751662226465114,6.086422865730858,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (2,1,), (3,0,), )",-1,61470549,50339400,61470515,50341626,64098091,1.4708975342182968,1.5337706516985883,1.8729210916300154,1.5337715000435574,1.8728382750290982,6.145452676213861,18.49633411327401,"(6.740423784200108,5.550481568227612,)","(3391330,23017,)","(5.430532857036004e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (2,3,0,1,), )",-1,64156074,50339512,64156074,50339512,64098091,1.4708975342182968,1.469568165907409,1.872916924582026,1.469568165907409,1.872916924582026,6.31840638845061,18.49633411327401,"(6.31840638845061,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (0,), (1,2,3,), )",-1,62906432,50342983,62906287,50340441,64098091,1.4708975342182968,1.4987612713434455,1.8727877924913587,1.4987647260122028,1.8728823611219456,6.252722334798021,18.49633411327401,"(6.751501567256424,6.08646259064522,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (3,1,2,0,), )",-1,64154460,50340476,64154460,50340476,64098091,1.4708975342182968,1.4696051373513237,1.8728810589713136,1.4696051373513237,1.8728810589713136,6.31840638845061,18.49633411327401,"(6.31840638845061,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (1,3,), (2,0,), )",-1,61447771,50339969,61448116,50341042,64098091,1.4708975342182968,1.5343392032885945,1.8728999217301863,1.534330588752306,1.872860001586777,6.145504124447788,18.49633411327401,"(5.550603951449731,6.740404297445846,)","(23017,3391330,)","(5.430532857036004e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (3,0,1,2,), )",-1,64107914,50340127,64107914,50340127,64098091,1.4708975342182968,1.4706721544550647,1.8728940433543204,1.4706721544550647,1.8728940433543204,6.31840638845061,18.49633411327401,"(6.31840638845061,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (1,2,), (3,0,), )",-1,61446998,50340439,61446963,50342664,64098091,1.4708975342182968,1.5343585051949975,1.872882435530608,1.5343593791608545,1.8727996595492047,6.145452676213861,18.49633411327401,"(6.740423784200108,5.550481568227612,)","(3391330,23017,)","(5.430532857036004e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (0,), (1,), (2,), (3,), )",-1,50338522,50338522,50340441,50340441,64098091,1.4708975342182968,1.8729537589522394,1.8729537589522394,1.8728823611219456,1.8728823611219456,5.831695257443874,18.49633411327401,"(6.751501567256424,6.751662226465114,6.7164776811353395,3.107139554918616,)","(1695665,1695665,1695665,11508,)","(1.0861065714072008e-05,1.0861065714072008e-05,1.0861065714072008e-05,2.757692466463596e-06,)"
rsim_f32,94281724,4,23570431,"( (0,), (3,), (2,1,), )",-1,52811756,50339364,52812983,50341268,64098091,1.4708975342182968,1.785241225457453,1.8729224310422357,1.785199749084425,1.8728515936467869,5.834872172643815,18.49633411327401,"(6.751501567256424,3.107139554918616,6.740423784200108,)","(1695665,11508,3391330,)","(1.0861065714072008e-05,2.757692466463596e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (1,), (3,0,2,), )",-1,62961244,50339993,62955377,50341252,64098091,1.4708975342182968,1.4974564987947188,1.8728990288099563,1.4975960512475368,1.8728521888966925,6.252732705914422,18.49633411327401,"(6.751662226465114,6.086422865730858,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (0,2,1,), (3,), )",-1,52856980,50340326,52856676,50339969,64098091,1.4708975342182968,1.783713787658697,1.8728866396296282,1.7837240465140107,1.8728999217301863,5.835959644252597,18.49633411327401,"(6.745566340697257,3.107139554918616,)","(5086995,11508,)","(3.620355238024003e-06,2.757692466463596e-06,)"
rsim_f32,94281724,4,23570431,"( (2,1,0,3,), )",-1,64111020,50338687,64111020,50338687,64098091,1.4708975342182968,1.4706009044934865,1.8729476197899242,1.4706009044934865,1.8729476197899242,6.318406388450609,18.49633411327401,"(6.318406388450609,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (0,2,3,1,), )",-1,64208795,50342891,64208795,50342891,64098091,1.4708975342182968,1.4683615227477793,1.8727912149502897,1.4683615227477793,1.8727912149502897,6.31840638845061,18.49633411327401,"(6.31840638845061,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (1,2,0,3,), )",-1,64137590,50339726,64137590,50339726,64098091,1.4708975342182968,1.4699916850633146,1.8729089625954658,1.4699916850633146,1.8729089625954658,6.318406388450609,18.49633411327401,"(6.318406388450609,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (0,1,2,3,), )",-1,64098091,50340441,64098091,50340441,64098091,1.4708975342182968,1.4708975342182968,1.8728823611219456,1.4708975342182968,1.8728823611219456,6.318406388450609,18.49633411327401,"(6.318406388450609,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (1,0,), (2,3,), )",-1,56088061,50339967,56091459,50339638,64098091,1.4708975342182968,1.6809588764353969,1.8728999961402437,1.680857044563594,1.8729122366752022,6.14325640588189,18.49633411327401,"(6.751592197585234,5.534920614178546,)","(3391330,23017,)","(5.430532857036004e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (3,1,0,), (2,), )",-1,60685891,50339042,60687533,50340686,64098091,1.4708975342182968,1.5536020390637422,1.8729344114256286,1.5535600038314294,1.8728732461055457,6.248799998494674,18.49633411327401,"(6.092907437614452,6.7164776811353395,)","(34526,1695665,)","(3.620355238024003e-06,1.0861065714072008e-05,)"
rsim_f32,94281724,4,23570431,"( (2,3,1,), (0,), )",-1,63016407,50339848,63016118,50339529,64098091,1.4708975342182968,1.496145662509765,1.8729044235493122,1.4961525240256786,1.8729162920852915,6.252722334798021,18.49633411327401,"(6.086462590645219,6.751501567256424,)","(34526,1695665,)","(3.620355238024003e-06,1.0861065714072008e-05,)"
rsim_f32,94281724,4,23570431,"( (1,), (0,2,), (3,), )",-1,52803851,50340402,52804206,50339638,64098091,1.4708975342182968,1.7855084849777338,1.8728838120919258,1.7854964810947067,1.8729122366752022,5.834902594068856,18.49633411327401,"(6.751662226465114,6.740404297445846,3.107139554918616,)","(1695665,3391330,11508,)","(1.0861065714072008e-05,5.430532857036004e-06,2.757692466463596e-06,)"
rsim_f32,94281724,4,23570431,"( (1,3,0,), (2,), )",-1,60761997,50339608,60763636,50341252,64098091,1.4708975342182968,1.551656111631749,1.872913352841365,1.5516142582382662,1.8728521888966925,6.248799998494674,18.49633411327401,"(6.092907437614452,6.7164776811353395,)","(34526,1695665,)","(3.620355238024003e-06,1.0861065714072008e-05,)"
rsim_f32,94281724,4,23570431,"( (1,0,), (2,), (3,), )",-1,50255228,50338562,50256305,50339638,64098091,1.4708975342182968,1.8760580292263325,1.8729522706667703,1.8760178250271284,1.8729122366752022,5.831700407806107,18.49633411327401,"(6.751592197585234,6.7164776811353395,3.107139554918616,)","(3391330,1695665,11508,)","(5.430532857036004e-06,1.0861065714072008e-05,2.757692466463596e-06,)"
rsim_f32,94281724,4,23570431,"( (2,0,1,3,), )",-1,64111101,50338127,64111101,50338127,64098091,1.4708975342182968,1.4705990464896244,1.8729684558982498,1.4705990464896244,1.8729684558982498,6.31840638845061,18.49633411327401,"(6.31840638845061,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (3,1,), (2,), (0,), )",-1,58988984,50339363,58990095,50340476,64098091,1.4708975342182968,1.5982937424384187,1.872922468248158,1.5982636407010364,1.8728810589713136,6.142296787822806,18.49633411327401,"(5.550603951449731,6.7164776811353395,6.751501567256424,)","(23017,1695665,1695665,)","(5.430532857036004e-06,1.0861065714072008e-05,1.0861065714072008e-05,)"
rsim_f32,94281724,4,23570431,"( (3,2,0,1,), )",-1,64132762,50339987,64132762,50339987,64098091,1.4708975342182968,1.4701023480011668,1.872899252039934,1.4701023480011668,1.872899252039934,6.31840638845061,18.49633411327401,"(6.31840638845061,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (1,), (3,), (2,0,), )",-1,52829751,50338559,52831504,50341042,64098091,1.4708975342182968,1.7846331321909883,1.8729523822880985,1.7845739163511227,1.872860001586777,5.834902594068855,18.49633411327401,"(6.751662226465114,3.107139554918616,6.740404297445846,)","(1695665,11508,3391330,)","(1.0861065714072008e-05,2.757692466463596e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (1,3,0,2,), )",-1,64151330,50341252,64151330,50341252,64098091,1.4708975342182968,1.4696768406828042,1.8728521888966925,1.4696768406828042,1.8728521888966925,6.31840638845061,18.49633411327401,"(6.31840638845061,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (0,), (1,), (3,2,), )",-1,56172490,50340399,56177652,50343591,64098091,1.4708975342182968,1.678432342949369,1.8728839237050943,1.6782781167144543,1.8727651748163932,6.143251255519657,18.49633411327401,"(6.751501567256424,6.751662226465114,5.534920614178546,)","(1695665,1695665,23017,)","(1.0861065714072008e-05,1.0861065714072008e-05,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (1,3,2,0,), )",-1,64189102,50341042,64189102,50341042,64098091,1.4708975342182968,1.4688120111105465,1.872860001586777,1.4688120111105465,1.872860001586777,6.31840638845061,18.49633411327401,"(6.31840638845061,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (2,), (0,3,1,), )",-1,60759262,50339851,60761574,50341048,64098091,1.4708975342182968,1.5517259574350986,1.8729043119337003,1.5516669136977919,1.8728597783661556,6.248799998494674,18.49633411327401,"(6.7164776811353395,6.092907437614452,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (0,), (3,1,2,), )",-1,62932153,50340797,62932815,50341495,64098091,1.4708975342182968,1.4981487126302513,1.8728691164742584,1.4981329533725767,1.8728431485795167,6.252722334798021,18.49633411327401,"(6.751501567256424,6.08646259064522,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (1,), (2,), (0,3,), )",-1,58964017,50339930,58966282,50339726,64098091,1.4708975342182968,1.5989705043331766,1.8729013727273756,1.5989090850259136,1.8729089625954658,6.142275761013919,18.49633411327401,"(6.751662226465114,6.7164776811353395,5.550481568227612,)","(1695665,1695665,23017,)","(1.0861065714072008e-05,1.0861065714072008e-05,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (3,1,), (2,0,), )",-1,61480213,50339400,61480557,50340476,64098091,1.4708975342182968,1.5335295601529553,1.8729210916300154,1.5335209796488993,1.8728810589713136,6.145504124447788,18.49633411327401,"(5.550603951449731,6.740404297445846,)","(23017,3391330,)","(5.430532857036004e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (0,), (1,3,2,), )",-1,62973951,50341363,62972434,50343591,64098091,1.4708975342182968,1.4971543392600537,1.8728480593582657,1.4971904055669818,1.8727651748163932,6.252722334798021,18.49633411327401,"(6.751501567256424,6.08646259064522,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (0,1,), (2,), (3,), )",-1,50255077,50339366,50256156,50340441,64098091,1.4708975342182968,1.8760636661645151,1.8729223566303954,1.8760233870652583,1.8728823611219456,5.831700407806107,18.49633411327401,"(6.751592197585234,6.7164776811353395,3.107139554918616,)","(3391330,1695665,11508,)","(5.430532857036004e-06,1.0861065714072008e-05,2.757692466463596e-06,)"
rsim_f32,94281724,4,23570431,"( (3,1,), (0,2,), )",-1,61454313,50341243,61455148,50340686,64098091,1.4708975342182968,1.5341758681770634,1.8728525237249307,1.5341550231072587,1.8728732461055457,6.145504124447788,18.49633411327401,"(5.550603951449731,6.740404297445846,)","(23017,3391330,)","(5.430532857036004e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (2,0,), (1,), (3,), )",-1,52829751,50338559,52829320,50338127,64098091,1.4708975342182968,1.7846331321909883,1.8729523822880985,1.7846476918499046,1.8729684558982498,5.834902594068856,18.49633411327401,"(6.740404297445846,6.751662226465114,3.107139554918616,)","(3391330,1695665,11508,)","(5.430532857036004e-06,1.0861065714072008e-05,2.757692466463596e-06,)"
