dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-based zstd compressed size (B),standard zstd compressed size (B),standard zstd compression ratio,decomposed zstd compression ratio,decomposed row-ordered zstd compression ratio,reordered zstd compression ratio,reordered row-based zstd compression ratio,WE,entropy word,entropy list,max rep
hdr_night_f32,496979108,4,124244777,"( (3,1,0,), (2,), )",-1,148627327,136302021,148618593,136292467,174896113,2.84156748526481,3.3437936214785,3.64616096191266,3.34399012914891,3.64641655506903,2.94310167330848,9.00313322899195,"(1.4787939763810787,7.336024764090699,)","(179,59,)"
hdr_night_f32,496979108,4,124244777,"( (2,3,1,), (0,), )",-1,166171250,136303358,166171243,136303344,174896113,2.84156748526481,2.99076469605904,3.64612519671012,2.99076482204565,3.64612557121122,3.3039572302872,9.00313322899195,"(4.405276231040225,2.280281367782436e-07,)","(178,124244776,)"
hdr_night_f32,496979108,4,124244777,"( (1,), (0,2,), (3,), )",-1,157466290,136297421,157458802,136295692,174896113,2.84156748526481,3.15609841319053,3.64628401882967,3.15624850238604,3.64633027432738,2.77179124782114,9.00313322899195,"(2.280281367782436e-07,4.415365870141933,2.25643302297257,)","(124244776,119,1105,)"
hdr_night_f32,496979108,4,124244777,"( (1,3,0,), (2,), )",-1,148655035,136296167,148646330,136286622,174896113,2.84156748526481,3.343170367556,3.64631756665615,3.34336614970582,3.64657294095968,2.94310167330848,9.00313322899195,"(1.4787939763810787,7.336024764090699,)","(179,59,)"
hdr_night_f32,496979108,4,124244777,"( (1,0,), (2,), (3,), )",-1,136301970,136301982,136295685,136295692,174896113,2.84156748526481,3.64616232619382,3.6461620051864,3.64633046159899,3.64633027432738,2.3981145648042,9.00313322899195,"(2.3607676485055284e-07,7.336024764090699,2.25643302297257,)","(248489552,59,1105,)"
hdr_night_f32,496979108,4,124244777,"( (2,0,1,3,), )",-1,178143085,136300668,178143085,136300668,174896113,2.84156748526481,2.78977490481879,3.64619715583492,2.78977490481879,3.64619715583492,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(236,)"
hdr_night_f32,496979108,4,124244777,"( (3,1,), (2,), (0,), )",-1,142401576,136302035,142398872,136298589,174896113,2.84156748526481,3.48998320074772,3.64616058740429,3.4900494717402,3.64625277228659,2.77825185027379,9.00313322899195,"(1.8884912044881519,7.336024764090699,2.280281367782436e-07,)","(119,59,124244776,)"
hdr_night_f32,496979108,4,124244777,"( (3,2,0,1,), )",-1,179647863,136298178,179647863,136298178,174896113,2.84156748526481,2.76640701258996,3.64626376737039,2.76640701258996,3.64626376737039,3.56737541629414,9.00313322899195,"(3.5673754162941376,)","(238,)"
hdr_night_f32,496979108,4,124244777,"( (1,), (3,), (2,0,), )",-1,157465402,136301991,157457776,136293548,174896113,2.84156748526481,3.15611621148371,3.64616176443087,3.15626906860414,3.64638763384456,2.77179124782114,9.00313322899195,"(2.280281367782436e-07,2.25643302297257,4.415365870141933,)","(124244776,1105,119,)"
hdr_night_f32,496979108,4,124244777,"( (1,3,0,2,), )",-1,179929447,136286622,179929447,136286622,174896113,2.84156748526481,2.76207767147753,3.64657294095968,2.76207767147753,3.64657294095968,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(237,)"
