dataset name,original size,type width,Dimension,decomposition,chunk no,standard zstd compressed size (B),decomposed zstd col-order (B),decomposed zstd row-order (B),reordered zstd col-order (B),reordered zstd row-order (B),standard zstd ratio,decomposed zstd col-order ratio,decomposed zstd row-order ratio,reordered zstd col-order ratio,reordered zstd row-order ratio,WE,entropy word,entropy list,max rep,unique ratio
turbulence_f32,67108860,4,16777215,"( (0,1,), (2,), (3,), )",-1,61426519,53597058,53597058,53596705,53596705,1.0925063163680169,1.252099695472091,1.252099695472091,1.2521079420833798,1.2521079420833798,6.545681733940446,23.73246075605471,"(7.999993455455316,7.971160748720068,2.211579276131084,)","(3,9,90,)","(7.629394985997378e-06,1.5258789971994756e-05,8.940697249215677e-07,)"
spitzer_irac_f32,164989532,4,41247383,"( (0,1,), (2,), (3,), )",-1,123813189,113705050,113738738,113703202,113737014,1.332568309826831,1.4510308205308384,1.4506010432435077,1.4510544039032427,1.4506230311268766,6.089824527657722,24.994043660228744,"(7.133140549288577,7.111149909267116,2.9818671027866155,)","(1237576,618788,618788,)","(3.103227179285532e-06,6.206454358571064e-06,9.94002455864897e-07,)"
hdr_night_f32,496979108,4,124244777,"( (0,3,), (1,), (2,), )",-1,174896113,142399579,136296141,142390025,136286620,2.8415674852648096,3.490032143985482,3.6463182622316506,3.4902663160569007,3.646572994472972,2.7782518236243723,9.003133228991947,"(1.8884911511893265,2.280281367782436e-07,7.336024764090699,)","(119,124244776,59,)","(9.255922283155613e-08,1.609725614461846e-08,2.044351530366544e-06,)"
tpcds_web_f32,86354816,4,21588704,"( (0,1,2,), (3,), )",-1,69720919,62823978,59110791,62823815,59111759,1.2385782809317245,1.374551862984544,1.4608976557258386,1.3745554293383806,1.460873732415914,6.10062400335439,17.32971012097464,"(7.127900687388179,3.018793951253024,)","(23,12,)","(3.952684391491649e-06,1.1580130053198191e-06,)"
jw_mirimage_f32,169082876,4,42270719,"( (0,1,2,), (3,), )",-1,147341410,128783171,89397638,128822160,89434280,1.147558422306397,1.312926795380741,1.891357308567817,1.3125294281667068,1.8905824030785512,6.659449871285273,23.163615334796823,"(7.9895721521785426,2.6690830286054634,)","(69,1023,)","(2.018733897886462e-06,7.333681738415663e-07,)"
phone_gyro_f64,334383160,8,41797895,"( (3,5,), (7,), (2,1,0,6,), (4,), )",-1,92185828,225368942,250088540,225367519,250059156,3.627272946987036,1.4837144685180268,1.337059107146613,1.4837238368852967,1.3372162225485558,6.78296690752739,14.769069201684337,"(7.5695193812977575,1.0494046455668429,7.918550632028744,6.401089323941786,)","(10,6871,5,75,)","(3.062355173627763e-06,1.674725485577683e-07,1.5311775868138814e-06,6.124710347255526e-06,)"
wesad_chest_f64,272339192,8,34042399,"( (6,4,5,), (7,3,0,2,1,), )",-1,84180779,94134884,96563754,94134630,96562267,3.235170727037344,2.893074070182102,2.8203045213010256,2.893081876457155,2.8203479522700103,4.016575652494471,13.858620496208305,"(7.402021439378061,1.9853081803643178,)","(5,9,)","(2.506678020351425e-06,4.993772618668854e-07,)"
msg_bt_f64,266389424,8,33298678,"( (0,1,2,3,4,), (5,), (6,), (7,), )",-1,236527303,191576668,192350996,191596910,192371237,1.126252321069251,1.3905107901761815,1.3849131511645514,1.390363884260973,1.3847674327737467,7.072143044381139,23.66663103473837,"(7.827040504128003,7.74829579272855,7.3142086273040405,2.3794374143765085,)","(6451,1291,1291,18560,)","(1.5375985797394118e-06,7.68799289869706e-06,7.68799289869706e-06,3.3034344486588926e-07,)"
tpch_order_f64,119999992,8,14999999,"( (0,1,2,3,), (6,), (5,4,), (7,), )",-1,65361848,57380841,79728398,57389130,79747258,1.83593328022182,2.091290226994059,1.5051097853490043,2.0909881714533745,1.5047538311599378,5.395770571777678,23.40465111780649,"(5.0332604442751245,6.041557014632244,7.999321364770141,0.992923052948401,)","(20,5,4,28,)","(8.000000533333368e-07,1.0133334008888935e-05,8.53333390222226e-06,1.3333334222222282e-07,)"
astro_pt_f64,671088632,8,83886079,"( (0,1,2,3,4,5,), (6,), (7,), )",-1,641165312,518815694,487894852,518856494,487939933,1.0466702103809384,1.2935010250480203,1.3754779933607495,1.2933993112939626,1.3753509123017402,7.064884129749361,26.32192147349563,"(7.999993643281495,7.076691987091616,1.4424191912143047,)","(4,317,458,)","(5.086263081466314e-07,3.0517578488797887e-06,9.53674327774934e-08,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (0,1,), (2,), (3,), )",-1,13543786,11945013,11956875,11955521,11967470,1.7731606214097004,2.0104882263418213,2.0084936908682245,2.008721159036064,2.0067155380376973,4.889876994383939,15.0417856625863,"(6.1252633873909055,5.982073298937283,1.3269079038166607,)","(48130,24065,24065,)","(2.131973489575899e-05,4.263946979151798e-05,2.1652855753505223e-06,)"
wave_f32,536870908,4,134217727,"( (0,1,), (2,), (3,), )",-1,428316631,286175041,301836158,286208690,301856539,1.2534439924654712,1.8760228219902657,1.7786832152826435,1.8758022616294423,1.778563120675017,6.9308282670797805,25.266672744409803,"(7.99999719826996,7.977070282103345,3.746248389675856,)","(5,142,314,)","(9.536743235116774e-07,1.9073486470233547e-06,2.831220647925292e-07,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,1,2,), (3,), )",-1,139264360,125617519,118309129,125616801,118312662,1.240830575748167,1.3756319769378664,1.460609823270696,1.3756398397695226,1.4605662071909091,6.100469639298032,17.407346762848366,"(7.119602856803012,3.0430699867830926,)","(23,12,)","(1.9752689079780625e-06,5.78692062884198e-07,)"
tpcxbb_web_f64,986782672,8,123347834,"( (3,1,2,), (0,), (4,), (6,), (5,), (7,), )",-1,443779030,494842400,613640878,494866789,613668804,2.223590132233152,1.9941352479092331,1.6080784500800482,1.994036969007431,1.608005271846929,4.928496239358453,17.641660326923695,"(4.552180746174869,4.552179115718155,5.417655700674019,7.386403872541214,7.770544293156859,0.644644694252772,)","(57,19,16,7,12,74,)","(6.755962438167608e-08,2.0267887314502824e-07,2.075431661005089e-06,2.075431661005089e-06,2.075431661005089e-06,4.053577462900565e-08,)"
