dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-based snappy compressed size (B),standard snappy compressed size (B),standard snappy compression ratio,decomposed snappy compression ratio,decomposed row-ordered snappy compression ratio,reordered snappy compression ratio,reordered row-based snappy compression ratio,WE,entropy word,entropy list,max rep,unique ratio
rsim_f32,94281724,4,23570431,"( (1,3,), (2,0,), )",-1,71288155,56464665,71287627,56467921,71511324,1.31841670278682,1.322544032735873,1.6697473366750692,1.3225538283102058,1.6696510572790524,6.145504124447788,18.49633411327401,"(5.550603951449731,6.740404297445846,)","(23017,3391330,)","(5.430532857036004e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (3,0,1,2,), )",-1,71607642,56471272,71607642,56471272,71511324,1.31841670278682,1.3166433269789837,1.669551980341438,1.3166433269789837,1.669551980341438,6.31840638845061,18.49633411327401,"(6.31840638845061,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (1,2,), (3,0,), )",-1,71341408,56468021,71344737,56461653,71511324,1.31841670278682,1.32155681592379,1.6696481004708843,1.3214951510719004,1.6698364109176895,6.145452676213861,18.49633411327401,"(6.740423784200108,5.550481568227612,)","(3391330,23017,)","(5.430532857036004e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (0,), (1,), (2,), (3,), )",-1,56468754,56468754,56471432,56471432,71511324,1.31841670278682,1.6696264273867278,1.6696264273867278,1.6695472500148394,1.6695472500148394,5.831695257443874,18.49633411327401,"(6.751501567256424,6.751662226465114,6.7164776811353395,3.107139554918616,)","(1695665,1695665,1695665,11508,)","(1.0861065714072008e-05,1.0861065714072008e-05,1.0861065714072008e-05,2.757692466463596e-06,)"
rsim_f32,94281724,4,23570431,"( (0,), (3,), (2,1,), )",-1,57132712,56469188,57129319,56468198,71511324,1.31841670278682,1.6502231506181608,1.6696135952937734,1.6503211599634156,1.6696428669460994,5.834872172643815,18.49633411327401,"(6.751501567256424,3.107139554918616,6.740423784200108,)","(1695665,11508,3391330,)","(1.0861065714072008e-05,2.757692466463596e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (1,), (3,0,2,), )",-1,71563462,56471966,71562014,56466098,71511324,1.31841670278682,1.3174561621962895,1.669531462743833,1.317482819865858,1.6697049617276547,6.252732705914422,18.49633411327401,"(6.751662226465114,6.086422865730858,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (0,2,1,), (3,), )",-1,57030975,56469138,57030043,56468195,71511324,1.31841670278682,1.6531669675996246,1.6696150736354431,1.6531939840901049,1.669642955649636,5.835959644252597,18.49633411327401,"(6.745566340697257,3.107139554918616,)","(5086995,11508,)","(3.620355238024003e-06,2.757692466463596e-06,)"
rsim_f32,94281724,4,23570431,"( (2,1,0,3,), )",-1,71526453,56468397,71526453,56468397,71511324,1.31841670278682,1.3181378363610454,1.669636982965888,1.3181378363610454,1.669636982965888,6.318406388450609,18.49633411327401,"(6.318406388450609,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (0,2,3,1,), )",-1,71636689,56461930,71636689,56461930,71511324,1.31841670278682,1.3161094589393991,1.6698282187661668,1.3161094589393991,1.6698282187661668,6.31840638845061,18.49633411327401,"(6.31840638845061,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (1,2,0,3,), )",-1,71522620,56467189,71522620,56467189,71511324,1.31841670278682,1.3182084772621585,1.6696727014337476,1.3182084772621585,1.6696727014337476,6.318406388450609,18.49633411327401,"(6.318406388450609,)","(46035,)","(2.715266428518002e-06,)"
