dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-based snappy compressed size (B),standard snappy compressed size (B),standard snappy compression ratio,decomposed snappy compression ratio,decomposed row-ordered snappy compression ratio,reordered snappy compression ratio,reordered row-based snappy compression ratio,WE,entropy word,entropy list,max rep,unique ratio
spitzer_irac_f32,164989532,4,41247383,"( (1,2,3,0,), )",-1,134770153,123226450,134770153,123226450,134770358,1.224227155351179,1.2242290175332813,1.3389132933716748,1.2242290175332813,1.3389132933716748,6.9061061763765865,24.994043660228744,"(6.9061061763765865,)","(5,)","(1.551613589642766e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (2,0,), (1,3,), )",-1,134767475,123223393,134768907,123220907,134770358,1.224227155351179,1.2242533445106099,1.3389465099374434,1.2242403360887983,1.3389735233810607,6.62282963579422,24.994043660228744,"(7.301518601845235,5.944140669743206,)","(4,5,)","(3.103227179285532e-06,3.103227179285532e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (3,2,1,0,), )",-1,134769142,123222038,134769142,123222038,134770358,1.224227155351179,1.2242382013532445,1.3389612335416818,1.2242382013532445,1.3389612335416818,6.906106176376587,24.994043660228744,"(6.906106176376587,)","(4,)","(1.551613589642766e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (3,1,0,2,), )",-1,134771042,123222117,134771042,123222117,134770358,1.224227155351179,1.2242209420626131,1.338960375108634,1.2242209420626131,1.338960375108634,6.906106176376587,24.994043660228744,"(6.906106176376587,)","(4,)","(1.551613589642766e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (2,3,), (1,), (0,), )",-1,134815340,123223806,134814699,123223165,134770358,1.224227155351179,1.2238186841349064,1.3389420222907251,1.2238245029942914,1.3389489873921028,6.534509262545309,24.994043660228744,"(5.935913536699098,7.134041878424723,7.132168098358317,)","(7,618788,618788,)","(3.103227179285532e-06,6.206454358571064e-06,6.206454358571064e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (1,0,3,2,), )",-1,134770084,123226478,134770084,123226478,134770358,1.224227155351179,1.2242296443177998,1.3389129891385843,1.2242296443177998,1.3389129891385843,6.906106176376587,24.994043660228744,"(6.906106176376587,)","(6,)","(1.551613589642766e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (1,), (3,2,0,), )",-1,134792574,123221998,134792123,123223580,134770358,1.224227155351179,1.2240253828819976,1.338961668191746,1.2240294783397692,1.338944477996825,6.778277138262714,24.994043660228744,"(7.134041878424723,6.659688891542045,)","(618788,4,)","(6.206454358571064e-06,2.068818119523688e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (2,0,1,), (3,), )",-1,123150978,123222021,123149864,123220907,134770358,1.224227155351179,1.3397338346756775,1.3389614182679246,1.3397459537592344,1.3389735233810607,6.213326325380182,24.994043660228744,"(7.290479399578038,2.9818671027866155,)","(4,618788,)","(2.068818119523688e-06,9.94002455864897e-07,)"
spitzer_irac_f32,164989532,4,41247383,"( (0,3,1,2,), )",-1,134770301,123223322,134770301,123223322,134770358,1.224227155351179,1.224227673128073,1.3389472814245342,1.224227673128073,1.3389472814245342,6.9061061763765865,24.994043660228744,"(6.9061061763765865,)","(5,)","(1.551613589642766e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (2,3,), (1,0,), )",-1,134752205,123223388,134752886,123223165,134770358,1.224227155351179,1.224392075810559,1.3389465642674911,1.2243858881063223,1.3389489873921028,6.534527042993837,24.994043660228744,"(5.935913536699098,7.133140549288576,)","(7,1237576,)","(3.103227179285532e-06,3.103227179285532e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (0,1,), (2,3,), )",-1,134752796,123223583,134752351,123221513,134770358,1.224227155351179,1.224386705861005,1.3389444453988975,1.2243907492196555,1.3389669383462286,6.534527042993838,24.994043660228744,"(7.133140549288577,5.935913536699098,)","(1237576,7,)","(3.103227179285532e-06,3.103227179285532e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (3,1,), (0,), (2,), )",-1,134815758,123222754,134815124,123222117,134770358,1.224227155351179,1.2238148896511045,1.3389534533532663,1.2238206449300155,1.338960375108634,6.532899836777961,24.994043660228744,"(5.944140669743206,7.132168098358317,7.111149909267116,)","(5,618788,618788,)","(3.103227179285532e-06,6.206454358571064e-06,6.206454358571064e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (0,3,), (2,1,), )",-1,134767476,123223588,134768394,123223929,134770358,1.224227155351179,1.22425333542642,1.3389443910690215,1.224244996196957,1.3389406857818988,6.623087268807982,24.994043660228744,"(5.943480715205155,7.302693822410809,)","(6,4,)","(3.103227179285532e-06,3.103227179285532e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (3,0,2,1,), )",-1,134769320,123222682,134769320,123222682,134770358,1.224227155351179,1.2242365844095675,1.3389542357144928,1.2242365844095675,1.3389542357144928,6.906106176376587,24.994043660228744,"(6.906106176376587,)","(4,)","(1.551613589642766e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (1,0,2,3,), )",-1,134769502,123221318,134769502,123221318,134770358,1.224227155351179,1.2242349311344936,1.338969057286013,1.2242349311344936,1.338969057286013,6.906106176376587,24.994043660228744,"(6.906106176376587,)","(6,)","(1.551613589642766e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (0,1,2,), (3,), )",-1,123150710,123222627,123149596,123221513,134770358,1.224227155351179,1.339736750198192,1.338954833352157,1.3397488693344963,1.3389669383462286,6.213326325380182,24.994043660228744,"(7.290479399578038,2.9818671027866155,)","(5,618788,)","(2.068818119523688e-06,9.94002455864897e-07,)"
spitzer_irac_f32,164989532,4,41247383,"( (0,3,2,1,), )",-1,134770137,123223929,134770137,123223929,134770358,1.224227155351179,1.2242291628745618,1.3389406857818988,1.2242291628745618,1.3389406857818988,6.9061061763765865,24.994043660228744,"(6.9061061763765865,)","(5,)","(1.551613589642766e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (0,2,1,3,), )",-1,134768704,123221032,134768704,123221032,134770358,1.224227155351179,1.2242421801429506,1.3389721650764943,1.2242421801429506,1.3389721650764943,6.906106176376587,24.994043660228744,"(6.906106176376587,)","(5,)","(1.551613589642766e-06,)"
